schema_version	sample_id	cell_line	ribo_gsm	rna_gsm	ribo_gse	ribo_genome_bam	ribo_genome_bai	ribo_txome_bam	ribo_txome_bai	rna_genome_bam	rna_genome_bai	rna_txome_bam	rna_txome_bai
riboflow_paper/cohort-manifest/1	A2780	A2780	GSM3720427	GSM3720423	GSE129702	A2780/genome/alignment_ribo/merged/A2780.post_dedup.bam	A2780/genome/alignment_ribo/merged/A2780.post_dedup.bam.bai	A2780/transcriptome/alignment_ribo/merged/A2780.transcriptome.post_dedup.bam	A2780/transcriptome/alignment_ribo/merged/A2780.transcriptome.post_dedup.bam.bai	A2780/rnaseq/genome/alignment_ribo/merged/A2780.rnaseq.post_dedup.bam	A2780/rnaseq/genome/alignment_ribo/merged/A2780.rnaseq.post_dedup.bam.bai	A2780/rnaseq/transcriptome/alignment_ribo/merged/A2780.rnaseq.transcriptome.post_dedup.bam	A2780/rnaseq/transcriptome/alignment_ribo/merged/A2780.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	A549	A549	GSM2714737	GSM2714733	GSE101760	A549/genome/alignment_ribo/merged/A549.post_dedup.bam	A549/genome/alignment_ribo/merged/A549.post_dedup.bam.bai	A549/transcriptome/alignment_ribo/merged/A549.transcriptome.post_dedup.bam	A549/transcriptome/alignment_ribo/merged/A549.transcriptome.post_dedup.bam.bai	A549/rnaseq/genome/alignment_ribo/merged/A549.rnaseq.post_dedup.bam	A549/rnaseq/genome/alignment_ribo/merged/A549.rnaseq.post_dedup.bam.bai	A549/rnaseq/transcriptome/alignment_ribo/merged/A549.rnaseq.transcriptome.post_dedup.bam	A549/rnaseq/transcriptome/alignment_ribo/merged/A549.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	BJ	BJ	GSM1047586	GSM1041193	GSE42509	BJ/genome/alignment_ribo/merged/BJ.post_dedup.bam	BJ/genome/alignment_ribo/merged/BJ.post_dedup.bam.bai	BJ/transcriptome/alignment_ribo/merged/BJ.transcriptome.post_dedup.bam	BJ/transcriptome/alignment_ribo/merged/BJ.transcriptome.post_dedup.bam.bai	BJ/rnaseq/genome/alignment_ribo/merged/BJ.rnaseq.post_dedup.bam	BJ/rnaseq/genome/alignment_ribo/merged/BJ.rnaseq.post_dedup.bam.bai	BJ/rnaseq/transcriptome/alignment_ribo/merged/BJ.rnaseq.transcriptome.post_dedup.bam	BJ/rnaseq/transcriptome/alignment_ribo/merged/BJ.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	BRx-142	BRx-142	GSM4263928	GSM4263931	GSE143623	BRx-142/genome/alignment_ribo/merged/BRx-142.post_dedup.bam	BRx-142/genome/alignment_ribo/merged/BRx-142.post_dedup.bam.bai	BRx-142/transcriptome/alignment_ribo/merged/BRx-142.transcriptome.post_dedup.bam	BRx-142/transcriptome/alignment_ribo/merged/BRx-142.transcriptome.post_dedup.bam.bai	BRx-142/rnaseq/genome/alignment_ribo/merged/BRx-142.rnaseq.post_dedup.bam	BRx-142/rnaseq/genome/alignment_ribo/merged/BRx-142.rnaseq.post_dedup.bam.bai	BRx-142/rnaseq/transcriptome/alignment_ribo/merged/BRx-142.rnaseq.transcriptome.post_dedup.bam	BRx-142/rnaseq/transcriptome/alignment_ribo/merged/BRx-142.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	Cybrid_Cells	Cybrid Cells	GSM1187138	GSM1187142	GSE48933	Cybrid_Cells/genome/alignment_ribo/merged/Cybrid_Cells.post_dedup.bam	Cybrid_Cells/genome/alignment_ribo/merged/Cybrid_Cells.post_dedup.bam.bai	Cybrid_Cells/transcriptome/alignment_ribo/merged/Cybrid_Cells.transcriptome.post_dedup.bam	Cybrid_Cells/transcriptome/alignment_ribo/merged/Cybrid_Cells.transcriptome.post_dedup.bam.bai	Cybrid_Cells/rnaseq/genome/alignment_ribo/merged/Cybrid_Cells.rnaseq.post_dedup.bam	Cybrid_Cells/rnaseq/genome/alignment_ribo/merged/Cybrid_Cells.rnaseq.post_dedup.bam.bai	Cybrid_Cells/rnaseq/transcriptome/alignment_ribo/merged/Cybrid_Cells.rnaseq.transcriptome.post_dedup.bam	Cybrid_Cells/rnaseq/transcriptome/alignment_ribo/merged/Cybrid_Cells.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	H1-hESC	H1-hESC	GSM4293622	GSM4293640	GSE144682	H1-hESC/genome/alignment_ribo/merged/H1-hESC.post_dedup.bam	H1-hESC/genome/alignment_ribo/merged/H1-hESC.post_dedup.bam.bai	H1-hESC/transcriptome/alignment_ribo/merged/H1-hESC.transcriptome.post_dedup.bam	H1-hESC/transcriptome/alignment_ribo/merged/H1-hESC.transcriptome.post_dedup.bam.bai	H1-hESC/rnaseq/genome/alignment_ribo/merged/H1-hESC.rnaseq.post_dedup.bam	H1-hESC/rnaseq/genome/alignment_ribo/merged/H1-hESC.rnaseq.post_dedup.bam.bai	H1-hESC/rnaseq/transcriptome/alignment_ribo/merged/H1-hESC.rnaseq.transcriptome.post_dedup.bam	H1-hESC/rnaseq/transcriptome/alignment_ribo/merged/H1-hESC.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	H9-hESC	H9-hESC	GSM4192110	GSM4192133	GSE140997	H9-hESC/genome/alignment_ribo/merged/H9-hESC.post_dedup.bam	H9-hESC/genome/alignment_ribo/merged/H9-hESC.post_dedup.bam.bai	H9-hESC/transcriptome/alignment_ribo/merged/H9-hESC.transcriptome.post_dedup.bam	H9-hESC/transcriptome/alignment_ribo/merged/H9-hESC.transcriptome.post_dedup.bam.bai	H9-hESC/rnaseq/genome/alignment_ribo/merged/H9-hESC.rnaseq.post_dedup.bam	H9-hESC/rnaseq/genome/alignment_ribo/merged/H9-hESC.rnaseq.post_dedup.bam.bai	H9-hESC/rnaseq/transcriptome/alignment_ribo/merged/H9-hESC.rnaseq.transcriptome.post_dedup.bam	H9-hESC/rnaseq/transcriptome/alignment_ribo/merged/H9-hESC.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	HEK293	HEK293	GSM4793173	GSM4793176	GSE158141	HEK293/genome/alignment_ribo/merged/HEK293.post_dedup.bam	HEK293/genome/alignment_ribo/merged/HEK293.post_dedup.bam.bai	HEK293/transcriptome/alignment_ribo/merged/HEK293.transcriptome.post_dedup.bam	HEK293/transcriptome/alignment_ribo/merged/HEK293.transcriptome.post_dedup.bam.bai	HEK293/rnaseq/genome/alignment_ribo/merged/HEK293.rnaseq.post_dedup.bam	HEK293/rnaseq/genome/alignment_ribo/merged/HEK293.rnaseq.post_dedup.bam.bai	HEK293/rnaseq/transcriptome/alignment_ribo/merged/HEK293.rnaseq.transcriptome.post_dedup.bam	HEK293/rnaseq/transcriptome/alignment_ribo/merged/HEK293.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	HEK293T	HEK293T	GSM3753507	GSM3753509	GSE130781	HEK293T/genome/alignment_ribo/merged/HEK293T.post_dedup.bam	HEK293T/genome/alignment_ribo/merged/HEK293T.post_dedup.bam.bai	HEK293T/transcriptome/alignment_ribo/merged/HEK293T.transcriptome.post_dedup.bam	HEK293T/transcriptome/alignment_ribo/merged/HEK293T.transcriptome.post_dedup.bam.bai	HEK293T/rnaseq/genome/alignment_ribo/merged/HEK293T.rnaseq.post_dedup.bam	HEK293T/rnaseq/genome/alignment_ribo/merged/HEK293T.rnaseq.post_dedup.bam.bai	HEK293T/rnaseq/transcriptome/alignment_ribo/merged/HEK293T.rnaseq.transcriptome.post_dedup.bam	HEK293T/rnaseq/transcriptome/alignment_ribo/merged/HEK293T.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	HeLa	HeLa	GSM2100602	GSM2100595	GSE79664	HeLa/genome/alignment_ribo/merged/HeLa.post_dedup.bam	HeLa/genome/alignment_ribo/merged/HeLa.post_dedup.bam.bai	HeLa/transcriptome/alignment_ribo/merged/HeLa.transcriptome.post_dedup.bam	HeLa/transcriptome/alignment_ribo/merged/HeLa.transcriptome.post_dedup.bam.bai	HeLa/rnaseq/genome/alignment_ribo/merged/HeLa.rnaseq.post_dedup.bam	HeLa/rnaseq/genome/alignment_ribo/merged/HeLa.rnaseq.post_dedup.bam.bai	HeLa/rnaseq/transcriptome/alignment_ribo/merged/HeLa.rnaseq.transcriptome.post_dedup.bam	HeLa/rnaseq/transcriptome/alignment_ribo/merged/HeLa.rnaseq.transcriptome.post_dedup.bam.bai
