sample	n_regions_total	n_regions_covered_either	n_bases_inter	n_bases_union	n_bases_all	n_bases_g_only	n_bases_t_only	spearman_inter	pearson_inter	spearman_union	pearson_union	spearman_all	pearson_all	frame_agree	g_psite_in_cds	t_psite_in_cds
A2780	19734	14309	1983883	2317823	33232821	149097	184843	0.9669227209978967	0.9672326724997783	0.5853749361172682	0.4075139084767054	0.9165987332731074	0.9090501694051626	0.9921411614640542	3038301	3115016
A549	19734	13122	933677	1110587	33232821	65954	110956	0.9750809727105706	0.9752782242561502	0.49431823020387977	0.38175219376872893	0.9104854566213455	0.8930980452642775	0.992634431825365	1437939	1540220
BJ	19734	12966	1597309	1860389	33232821	131192	131888	0.953840065039885	0.9566902749033771	0.6072525528238998	0.45110017112027107	0.919778748467562	0.916372291596936	0.9867358290493401	2422169	2427797
BRx-142	19734	13246	1177223	1385308	33232821	95887	112198	0.969950040854473	0.9710643377613897	0.5775353213392282	0.45551499434413145	0.9152676951994078	0.9044977086574227	0.989638444391758	1959932	2010392
Cybrid_Cells	19734	13745	1483565	1759416	33232821	134992	140859	0.9544056774793968	0.9602890247372866	0.5787853647904905	0.48572396896908393	0.9105215403255656	0.902495535866833	0.985790926341211	2554344	2596061
H1-hESC	19734	15678	3053471	3497305	33232821	201255	242579	0.9749567860071675	0.9754833887034964	0.6236705262391476	0.4577556168885211	0.9240218050683912	0.9155373239609896	0.9919060588156571	4680274	4788055
H9-hESC	19734	14674	1360078	1593698	33232821	98925	134695	0.9686315157805025	0.9694518771972903	0.5993561039730668	0.44554425772759376	0.917007507880411	0.9084879320869738	0.994201170507787	2227161	2305851
HEK293	19734	15262	4084362	4665464	33232821	287295	293807	0.9671091910106846	0.967154375759142	0.7051134809644668	0.5881997318084566	0.9234134157837323	0.918486268632572	0.9814726142849045	8708382	8771279
HEK293T	19734	13781	1725696	2085187	33232821	112455	247036	0.9387426663183622	0.9421449915677437	0.5381977069207968	0.38824658595646583	0.900472082712407	0.8924051389881965	0.9856576572840633	2660795	2974410
HeLa	19734	14289	3494291	4041496	33232821	262719	284486	0.9605788524374885	0.9608017233785788	0.6572165991216218	0.4985316819101615	0.917762034847153	0.9122067635223102	0.9837257592232151	6305358	6353085
Huh7	19734	14286	2631945	3192087	33232821	221432	338710	0.9278929596322737	0.9352618905142479	0.575296224571987	0.44754019261017963	0.8953981966156985	0.8910159604220556	0.9776688708140968	4552157	4904570
LuCaP-PDX	19734	14543	2658947	3091576	33232821	212710	219919	0.9628969042699659	0.9641662807342385	0.628686771511862	0.4638335369610474	0.9174385234008177	0.9119855603922692	0.9880087815366685	4314487	4357266
MCF10A	19734	12353	961204	1151671	33232821	66964	123503	0.9721430672318777	0.971495200983582	0.37352360061487744	0.17790118448647643	0.9066664850128893	0.8922177437729444	0.9969220622183137	1242799	1331599
RD-CCL-136	19734	14300	3106031	3570244	33232821	208202	256011	0.971953179915365	0.9721205462689326	0.652184214254591	0.5100732697876676	0.9219616705664908	0.9123844240673038	0.9904398151612497	5483796	5647244
U-251	19734	13518	2415033	2809811	33232821	178838	215940	0.9649034615314611	0.9665468474756136	0.607992574975363	0.47244686165916766	0.9173672254681142	0.9058310965470755	0.9867578509422495	4113795	4231291
U-343	19734	13988	2975117	3420578	33232821	200032	245429	0.9725335643591349	0.9741744631567003	0.6521747330203574	0.5362609681690375	0.9222924353284598	0.912757532688339	0.987829859412206	5370757	5527559
U2OS	19734	14008	1463687	1708093	33232821	117824	126582	0.9389095247496688	0.947508730258979	0.6244112747995663	0.504912177329011	0.9190252093575494	0.9108462166212383	0.9885274715700122	2650015	2621067
cardiac_fibroblasts	19734	14290	2445759	2803931	33232821	160104	198068	0.9689735966074656	0.970928323876533	0.6651511512972845	0.5206422246969785	0.9258550026339288	0.922043151925273	0.9903310096364589	3984306	4064491
early_neurons	19734	14512	2075736	2447686	33232821	174659	197291	0.9604186954105667	0.9638072867847686	0.554298455769317	0.42123207708343574	0.9111858225287515	0.8981109275742121	0.98806548594927	3349727	3430193
fibroblast	19734	12951	1189945	1413029	33232821	107312	115772	0.9572188144997851	0.9624877390390271	0.5440123299319509	0.4218373399229071	0.9106973556165334	0.9030623391759882	0.9890378461247633	1866754	1889868
hESC	19734	15483	2391051	2778660	33232821	194262	193347	0.9620939059756918	0.9664148060634585	0.6350654152814907	0.5186990726004607	0.9186827106954478	0.9135585737209558	0.9885915567591387	4108118	4125324
megakaryocytes	19734	13803	2679664	3074196	33232821	184379	210153	0.9765903347818988	0.9767951391214644	0.6696627873239263	0.5526298510009895	0.924579545622598	0.9186988272715185	0.9883889556839669	4812875	4879389
neurons	19734	14017	1415963	1688847	33232821	125146	147738	0.9596162245256329	0.9627455080792311	0.4905661379391742	0.35812046317159646	0.9073084483771345	0.892352789062885	0.9903208323075062	2164592	2231384
normal_prostate	19734	15974	1900514	2184730	33232821	128636	155580	0.9722901544668162	0.9732828921854162	0.6482104692203952	0.5057642389974816	0.9258202905655805	0.9221709423050888	0.9923377011615528	2969655	3029103
