sample	n_regions_total	n_regions_covered_either	n_bases_inter	n_bases_union	n_bases_all	n_bases_g_only	n_bases_t_only	spearman_inter	pearson_inter	spearman_union	pearson_union	spearman_all	pearson_all	g_psite_in_cds	t_psite_in_cds
A2780	19734	14311	13979350	15148292	33232821	741787	427155	0.9637051486605622	0.9621085356975179	0.8349671623846162	0.7960609254006065	0.9341633327055165	0.9302134235883737	81190356	82967010
A549	19734	13209	8815501	9663019	33232821	453993	393525	0.9653182581933698	0.9633838033007984	0.8042708627730062	0.7843254688498783	0.9380916822222631	0.9277666448017716	37179043	39756431
BJ	19734	12987	11870475	12902889	33232821	630636	401778	0.9655553586569386	0.9678427555354902	0.8484875450598206	0.8346288771761289	0.9411834124716965	0.9424675557878528	67387766	67488534
BRx-142	19734	13286	9987395	10928561	33232821	575874	365292	0.9664446998357419	0.965536018110813	0.820180953202185	0.8042666337707889	0.9377639110261549	0.933007538782853	54485277	55848571
Cybrid_Cells	19734	13833	11274360	12371372	33232821	695101	401911	0.9592522647074977	0.9619649516367522	0.8335298839261704	0.8268171041725566	0.9363283293205328	0.936212395107789	66621479	67358178
H1-hESC	19734	15685	17717332	18966402	33232821	801622	447448	0.9699678099654375	0.9687008835634761	0.857607539282963	0.8189783325370391	0.9328110477449844	0.9301747657727906	126261448	129032050
H9-hESC	19734	14654	11534057	12587121	33232821	628352	424712	0.9653160476853258	0.9637636089278134	0.8258190410463346	0.7988055606433532	0.9360406341886486	0.9319799855680038	58570917	60488528
HEK293	19734	15290	16751548	17925012	33232821	807307	366157	0.9699404068183447	0.9679420274243429	0.8653274361718397	0.8312899571656364	0.9386100786375534	0.9387700160208402	243465423	244859412
HEK293T	19734	13808	13021900	14190032	33232821	626628	541504	0.9603416148526673	0.9592741146348782	0.828735363445411	0.7932463852510094	0.9336889663470189	0.9286890036742855	70965060	78720541
HeLa	19734	14373	16159679	17324532	33232821	774056	390797	0.9675523996234285	0.9652099779175383	0.8597083797268722	0.8219515972043943	0.9384589224693719	0.9370630778961077	168385575	169576734
Huh7	19734	14320	15013705	16339845	33232821	804293	521847	0.9601989397913134	0.9596933702582997	0.8391251431061135	0.8070046860971412	0.9308403348676051	0.9290372155286865	119212271	127374758
LuCaP-PDX	19734	14619	14533871	15824357	33232821	896987	393499	0.9661359850201853	0.9654752963678396	0.8500493260403824	0.8172760339108099	0.9343799755105808	0.9353326088406604	118208055	119265640
MCF10A	19734	12353	9164760	10004430	33232821	449285	390385	0.964427614936255	0.959767664747002	0.8001356533660867	0.7546415401325599	0.9388751757831414	0.9244808580319808	32709950	35010023
RD-CCL-136	19734	14356	16158462	17325587	33232821	758975	408150	0.9671162632049399	0.9643669907380504	0.8580442887972374	0.8182296148235868	0.9377339926184239	0.935111707272099	145038907	148835504
U-251	19734	13546	14188387	15289636	33232821	695572	405677	0.9694371394389729	0.9674430128122532	0.8519136641446033	0.8239054299895002	0.9394851850877496	0.9358888050011324	110938778	114013260
U-343	19734	14018	15621549	16748159	33232821	713726	412884	0.970544762637902	0.9692167803323117	0.8573290441839387	0.8271370382737757	0.9387088030574212	0.9362210580085913	142897535	146873079
U2OS	19734	14058	11664897	12700084	33232821	651402	383785	0.9630492356442578	0.9650153053632426	0.8389390149414637	0.8224388963632888	0.9393552019344954	0.9380655991924963	72960189	71996552
cardiac_fibroblasts	19734	14343	14434628	15578487	33232821	718618	425241	0.9699012875610427	0.9706106744619419	0.8580224377561247	0.8366172663211167	0.9394674220468237	0.940779778410285	106768458	108773021
early_neurons	19734	14600	14676545	15940251	33232821	812316	451390	0.9596979581644396	0.9578972730555821	0.836128156105594	0.7979918717520216	0.931963983670781	0.9264169269531456	86138292	87684578
fibroblast	19734	13011	10603465	11678629	33232821	658642	416522	0.9583297331233098	0.9599695086010622	0.8193084852895832	0.7978665834171091	0.9339798604593088	0.9315891701498117	48987280	49427614
hESC	19734	15505	15292622	16579730	33232821	828177	458931	0.967534921905626	0.9686148278485616	0.8492018470306306	0.8283625588533091	0.9332612549386629	0.9336677375964614	105779695	106026254
megakaryocytes	19734	13913	14142566	15249353	33232821	704276	402511	0.9699698057350065	0.9692883801453136	0.8540100494569806	0.8281595230859531	0.9395671451376909	0.9393944943131478	130968721	132691151
neurons	19734	14095	12372809	13555159	33232821	747476	434874	0.9567893279515305	0.9558052905020364	0.8161199709836724	0.7825047071620793	0.9311568926017428	0.9232784029515717	55885747	57229380
normal_prostate	19734	16027	14374357	15602398	33232821	766857	461184	0.9682971361383138	0.9691487473161438	0.8464399473513768	0.8226603701183504	0.9345257834611913	0.9352666962222953	79881582	81421441
