sample	n_genome_unique	n_gUtU	n_gUtM	n_gUtA	n_shared_unique_concordant	n_shared_unique_discordant	n_genome_unique_transcriptome_multimapped	n_splice_junction_absent	n_nonselected_isoform_exon	n_protein_coding_gene_omitted	n_pseudogene	n_non_protein_coding_gene	n_intronic	n_intergenic	n_other_unclassified	n_representable_not_present_in_dedup_bam	pct_shared_unique_concordant	pct_shared_unique_discordant	pct_genome_unique_transcriptome_multimapped	pct_representable_not_present_in_dedup_bam	pct_splice_junction_absent	pct_nonselected_isoform_exon	pct_protein_coding_gene_omitted	pct_pseudogene	pct_non_protein_coding_gene	pct_intronic	pct_intergenic	pct_other_unclassified	C_shared_pct	R_shared_pct	C_overall_pct
A2780	4038189	3352631	172874	512684	3352215	416	172874	7980	191834	7583	11346	52915	105924	29389	0	105713	83.01283075160673	0.0103016475949986	4.280978428696626	2.617831904351183	0.1976133360771375	4.750495828699449	0.1877821964251797	0.2809675327232083	1.3103646213686382	2.623057018876531	0.7277767335803252	0.0	99.987591834592	83.02313239920173	83.01283075160673
A549	2181224	1798284	108455	274485	1797815	469	108455	3860	122359	1965	10310	28553	30585	21841	0	55012	82.4223005065046	0.02150168895996	4.972208264717425	2.5220701771115666	0.1769648600968997	5.609648527615687	0.0900870337021782	0.4726703905696985	1.3090356607116005	1.4021943642652015	1.001318525745178	0.0	99.97391958111176	82.44380219546457	82.4223005065046
BJ	3127247	2733905	198346	194996	2732377	1528	198346	5607	75574	1777	3309	12845	17393	5668	0	72823	87.37323914612438	0.0488608670821332	6.342511480545029	2.328661599163737	0.179295079665917	2.416630346115929	0.0568231418880568	0.1058119169992009	0.4107446581609959	0.5561760871462983	0.181245677108332	0.0	99.94410925032145	87.4221000132065	87.37323914612438
BRx-142	2645062	1963046	124783	557233	1962238	808	124783	7489	114896	3234	9735	33415	56253	37044	0	295167	74.18495294250191	0.0305474881118098	4.7175831795247145	11.159171316211111	0.2831313594917624	4.343792319423892	0.1222655650415755	0.3680443029312734	1.2632974198714435	2.1267176345960888	1.400496472294411	0.0	99.95883947701684	74.21550043061373	74.18495294250191
Cybrid_Cells	4415585	3086944	253088	1075553	3084639	2305	253088	9017	426166	52526	12899	90438	342400	52680	0	89427	69.85799163644228	0.052201463679218	5.731698064922315	2.025258261362877	0.2042085023841688	9.651405193196371	1.1895592543230398	0.2921243731011859	2.0481544348030893	7.754351914865188	1.193046900920263	0.0	99.9253306830315	69.9101931001215	69.85799163644228
H1-hESC	5752981	5106028	224182	422771	5105550	478	224182	10770	142286	7691	9008	41060	41985	21775	0	148196	88.74616481438058	0.0083087359405497	3.8967971561178456	2.5759862582546336	0.1872072930538098	2.473256908027334	0.1336872136375906	0.1565796932060092	0.7137169408346734	0.7297955616401306	0.3784994249068439	0.0	99.9906385158875	88.75447355032112	88.74616481438058
H9-hESC	2817416	2373394	130389	313633	2373092	302	130389	6225	114959	5223	6292	32790	57136	16825	0	74183	84.22937897704847	0.0107190418454356	4.6279640635248755	2.633015500728327	0.220947137376944	4.08029911095841	0.185382634300366	0.2233252029519247	1.163832391098794	2.027957532717923	0.5971784074485273	0.0	99.98727560615724	84.2400980188939	84.22937897704847
HEK293	10628822	9184249	540762	903811	9182771	1478	540762	27009	340102	8307	21895	68809	130702	30963	0	276024	86.39500219309346	0.013905586150563	5.087694572361829	2.596938776470243	0.2541109447500391	3.1998089722454663	0.0781554155295854	0.2059964876634494	0.6473812431895086	1.2296941279099414	0.2913116806359161	0.0	99.9839072307382	86.40890777924402	86.39500219309346
HEK293T	3519143	3080573	123281	315289	3080036	537	123281	7837	127163	2595	6742	31885	31628	12782	0	94657	87.5223314312604	0.0152593969611351	3.50315403494544	2.6897741864993834	0.2226962644030095	3.6134649828097354	0.0737395439742005	0.1915807342867283	0.9060444545731732	0.8987415401988496	0.3632134300879504	0.0	99.98256817806298	87.53759082822152	87.5223314312604
HeLa	7643239	6451396	394910	796933	6449335	2061	394910	22533	284345	16140	37809	85320	101373	43801	0	205612	84.37960660395416	0.0269650078978297	5.166788582693803	2.6901160620517035	0.2948095696078586	3.720215997432502	0.2111670196365703	0.4946724811300549	1.1162806762944348	1.3263094350444884	0.5730685642565934	0.0	99.9680534259562	84.40657161185199	84.37960660395416
