sample	n_universe	n_gU_tU	pct_gU_tU	n_gU_tM	pct_gU_tM	n_gU_tA	pct_gU_tA	n_gM_tU	pct_gM_tU	n_gM_tM	pct_gM_tM	n_gM_tA	pct_gM_tA	n_gA_tU	pct_gA_tU	n_gA_tM	pct_gA_tM	n_genome_unique	n_genome_multi	n_genome_absent	n_txome_unique	n_txome_multi	n_txome_absent
A2780	4741396	3352631	70.70978673791431	172874	3.6460569840612345	512684	10.812933574837452	396085	8.353763322025834	43329	0.9138447832663628	235595	4.968895236761494	3932	0.082929162634802	24266	0.5117901984985013	4038189	675009	28198	3752648	240469	748279
A549	2786930	1798284	64.52562497084605	108455	3.891558094390602	274485	9.849009483553589	306218	10.987645904274595	52675	1.8900725888343088	206672	7.415758558700793	4565	0.1638003107361864	35576	1.2765300886638702	2181224	565565	40141	2109067	196706	481157
BJ	3613793	2733905	75.65195350148721	198346	5.488582218184606	194996	5.395881833851579	290724	8.04484374174171	37756	1.044774839067982	99777	2.761004850028765	7114	0.1968568758642235	51175	1.4161021397739162	3127247	428257	58289	3031743	287277	294773
BRx-142	3555368	1963046	55.2135812664118	124783	3.509707012044885	557233	15.673004876007209	233689	6.572849842829209	52929	1.488706654276013	274978	7.7341642271629825	259827	7.308019873048304	88883	2.4999662482195935	2645062	561596	348710	2456562	266595	832211
Cybrid_Cells	5363109	3086944	57.55885252378798	253088	4.719053817477884	1075553	20.054654865302943	389231	7.257562730871217	86668	1.6160029564940783	341143	6.360918638797012	10678	0.1991009319407828	119804	2.2338535353281093	4415585	817042	130482	3486853	459560	1416696
H1-hESC	6557891	5106028	77.86082446323063	224182	3.418507565923252	422771	6.44675246965831	530630	8.091473310550603	44957	0.6855405190479683	203920	3.1095362823200325	4321	0.065890085699808	21082	0.3214753035693944	5752981	779507	25403	5640979	290221	626691
H9-hESC	3337500	2373394	71.1129288389513	130389	3.906786516853933	313633	9.397243445692885	310819	9.312928838951311	37887	1.1351910112359551	147053	4.406082397003745	8481	0.2541123595505618	15844	0.4747265917602996	2817416	495759	24325	2692694	184120	460686
HEK293	12180208	9184249	75.40305551432292	540762	4.439677877422126	903811	7.420324841743261	999869	8.208964904376018	130966	1.0752361536026314	341744	2.8057320531800443	10721	0.0880198433392927	68086	0.5589888120137193	10628822	1472579	78807	10194839	739814	1245555
HEK293T	4136671	3080573	74.469857525532	123281	2.9801983285593656	315289	7.621805069825471	417304	10.08791852192258	34359	0.8305954232280015	149029	3.6026311978883503	3979	0.0961884568533489	12857	0.3108054761908791	3519143	600692	16836	3501856	170497	464318
HeLa	8817073	6451396	73.16936130618403	394910	4.478924014806275	796933	9.038521060220324	686991	7.791599320999157	77054	0.8739181358711672	333936	3.787379326449946	14126	0.1602118979847394	61727	0.7000849374843556	7643239	1097981	75853	7152513	533691	1130869
