transcript_id,A2780,A549,BJ,BRx-142,Cybrid_Cells,H1-hESC,H9-hESC,HEK293,HEK293T,HeLa,Huh7,LuCaP-PDX,MCF10A,RD-CCL-136,U-251,U-343,U2OS,cardiac_fibroblasts,early_neurons,fibroblast,hESC,megakaryocytes,neurons,normal_prostate
ENST00000000233.10,403,172,237,489,285,959,252,744,344,800,697,575,243,548,567,1125,458,401,763,206,454,731,528,328
ENST00000000412.8,464,296,341,300,854,617,230,912,231,1001,439,403,224,778,691,842,1126,632,419,273,537,1388,244,407
ENST00000001008.6,728,523,420,792,432,794,723,1832,1019,1263,611,1586,438,1170,1155,1276,995,453,415,387,529,579,389,654
ENST00000001146.6,39,21,3,0,9,292,1,18,10,199,77,3,10,4,14,75,67,490,302,0,118,0,91,7
ENST00000002125.9,232,35,63,58,78,151,174,472,217,387,246,177,47,350,159,231,106,164,173,49,82,110,101,85
ENST00000002165.11,168,101,585,268,899,606,287,706,296,1397,1145,662,328,413,633,582,772,582,289,104,359,504,136,307
ENST00000002501.11,35,9,9,103,21,64,54,65,37,61,133,47,4,117,206,89,11,22,7,12,167,23,4,2
ENST00000002596.6,0,4,0,12,0,22,2,2,0,0,0,21,3,0,15,181,0,0,3,0,29,2,0,14
ENST00000003084.11,175,0,0,0,0,15,3,0,0,3,11,2,0,0,0,0,0,0,0,0,0,0,0,209
ENST00000003100.13,310,102,333,207,608,605,185,679,310,583,672,543,141,604,237,7,537,602,298,86,296,654,277,411
ENST00000003302.8,308,117,91,66,128,299,508,964,559,469,165,190,48,397,252,287,250,199,315,163,74,77,133,193
ENST00000004982.6,2,0,54,0,0,2,2,0,0,2,11,10,0,72,0,16,0,379,1,8,15,1,0,142
ENST00000005178.6,0,316,0,16,0,454,1,45,32,1133,111,865,5,0,5,2,0,22,8,2,101,13,2,856
ENST00000005257.7,235,105,278,189,148,459,235,667,262,491,381,328,110,392,418,453,122,566,171,240,499,470,112,117
ENST00000005259.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000005260.9,292,175,54,283,187,171,261,1021,363,698,857,915,174,164,174,160,119,314,9,22,2,1,7,559
ENST00000005284.4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0
ENST00000005286.8,320,215,83,188,156,1178,87,166,63,699,750,158,71,1035,343,739,371,199,746,16,879,0,448,26
ENST00000005340.10,388,67,256,87,122,451,153,876,390,686,262,329,48,632,585,560,178,196,399,298,443,436,208,145
ENST00000005386.8,615,227,286,274,236,586,396,2498,541,1176,914,671,133,844,669,808,275,470,519,271,287,972,380,426
ENST00000005756.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ENST00000005995.8,1,0,0,2,0,0,4,1,0,1064,0,1,105,0,0,0,0,2,0,0,0,77,0,5
ENST00000006015.4,0,0,96,1,38,0,0,277,209,258,196,145,1,141,15,0,18,2,0,2,0,0,1,60
ENST00000006053.7,13,25,0,2,0,12,9,8,0,0,646,0,0,0,39,681,183,40,134,0,142,0,41,156
ENST00000006724.7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENST00000006777.11,304,112,113,226,105,690,40,260,132,437,355,314,98,469,249,816,305,237,454,53,602,200,279,273
ENST00000007390.3,154,84,147,110,87,172,115,269,192,467,254,150,123,294,288,451,157,113,213,123,280,206,100,79
ENST00000007414.8,35,12,24,30,18,25,14,15,34,121,13,1,3,134,30,75,11,14,34,25,125,169,17,28
ENST00000007699.10,46,0,0,1,0,5,21,0,1,3,0,1,1,0,3,2,0,0,14,0,16,0,6,3
ENST00000007735.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000008391.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENST00000008527.10,355,40,70,105,71,294,144,724,241,413,436,536,61,415,153,293,92,135,174,132,293,277,92,151
ENST00000008938.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
ENST00000009041.11,155,89,67,22,242,472,96,277,157,517,234,853,71,302,307,278,138,232,199,104,231,556,158,283
ENST00000009105.5,0,0,75,2,0,34,8,0,0,0,0,1,0,0,0,0,1,0,19,0,28,0,11,44
ENST00000009530.12,224,19,0,0,0,550,201,5,0,1,12,13,0,0,0,13,0,11,199,0,54,1150,26,1097
ENST00000011292.8,0,0,0,0,0,441,0,0,0,0,1,0,0,4,0,0,0,5,1,0,1,1,1,1
ENST00000011473.6,423,219,240,553,738,532,239,978,270,1005,666,903,382,589,463,947,613,653,497,212,281,623,236,760
ENST00000011619.6,404,54,240,297,118,444,217,1137,390,794,472,470,135,541,472,667,143,498,369,295,553,1044,238,442
ENST00000011653.9,4,0,0,5,0,76,6,2,0,1,0,1,0,0,0,3,2,5,3,1,4,557,0,214
ENST00000011898.10,98,49,333,288,234,293,115,165,105,227,276,210,38,673,373,341,357,232,149,46,201,1005,57,250
ENST00000012049.10,211,19,219,63,132,99,84,261,87,464,212,154,27,214,121,188,362,255,76,29,119,173,38,67
ENST00000012443.9,537,276,277,369,345,705,446,1691,581,998,533,482,250,866,715,990,359,327,469,385,490,378,276,262
ENST00000013070.11,293,112,196,305,282,354,260,1180,351,743,274,513,172,605,507,375,109,186,392,197,244,395,236,218
ENST00000013125.8,328,49,190,67,177,308,154,1322,291,1401,173,243,102,541,336,460,77,550,346,243,451,502,232,221
ENST00000013222.5,0,0,12,0,0,0,0,0,0,6,0,0,0,1,0,0,0,215,0,0,0,0,0,72
ENST00000014914.6,9,419,245,53,763,24,4,178,30,1483,115,12,334,100,171,0,723,524,0,129,100,1,0,91
ENST00000014930.9,322,88,149,107,97,255,130,357,230,491,359,360,139,261,248,165,132,479,144,124,161,215,80,195
ENST00000016171.6,192,86,70,109,159,180,106,450,169,440,246,214,53,279,203,250,146,150,181,34,156,232,99,127
ENST00000016913.8,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000016946.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000017003.7,214,73,287,45,318,211,140,394,120,389,231,226,24,286,253,546,334,245,144,118,220,1008,56,132
ENST00000019103.8,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
ENST00000020926.8,5,1,0,2,0,695,65,8,2,1,0,0,0,2,0,1,2,1,2,0,373,0,6,53
ENST00000020945.4,157,2,106,0,31,23,1,669,272,236,0,16,205,463,147,315,16,277,24,187,28,0,6,230
ENST00000022615.9,462,319,285,368,369,768,419,1545,483,1137,790,714,352,983,737,915,444,421,567,211,533,846,520,331
ENST00000023064.9,1,1,0,0,0,37,0,1,0,0,108,0,0,1,0,0,0,0,2,1,0,0,1,0
ENST00000024061.7,90,49,32,60,155,254,62,83,58,62,166,136,27,87,67,31,47,44,79,6,54,229,55,35
ENST00000025008.10,536,80,183,131,378,547,237,2227,530,1092,311,1109,46,676,310,554,209,830,348,312,449,368,294,397
ENST00000025301.4,681,186,500,202,694,1222,300,2029,684,1085,605,481,116,970,697,1364,436,1212,812,306,1259,791,614,731
ENST00000027335.8,1,1,0,0,0,24,1,0,0,0,313,0,0,7,0,0,0,1,0,0,0,0,0,16
ENST00000029410.10,99,29,88,17,109,134,29,115,83,214,254,118,33,68,138,289,84,150,95,68,150,128,58,62
ENST00000033079.7,28,14,102,165,96,276,19,518,37,246,72,146,13,156,101,133,49,319,162,89,96,201,132,115
ENST00000035307.6,195,45,417,134,194,388,49,279,68,515,231,532,56,508,437,746,64,545,169,110,487,779,73,128
ENST00000037243.7,365,195,196,212,157,628,174,655,383,587,533,420,127,421,379,854,179,512,363,254,717,682,329,511
ENST00000037502.11,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,42
ENST00000037869.7,100,76,37,48,102,217,71,224,104,181,240,154,37,236,241,274,101,62,193,53,120,109,108,39
ENST00000038176.8,370,70,131,61,88,171,159,815,127,474,109,214,119,385,267,451,132,259,164,120,316,146,91,199
ENST00000039007.5,0,0,0,0,0,1,0,0,0,0,12,1,0,0,0,0,0,0,0,0,1,0,0,0
ENST00000039989.9,352,128,354,153,1590,775,186,1358,165,1230,600,1363,122,593,423,618,495,643,609,333,632,634,323,803
ENST00000040584.6,110,15,0,0,52,0,0,94,64,6,50,2,28,86,2,5,47,4,0,64,0,0,2,0
ENST00000040663.8,302,57,121,186,70,179,56,518,286,428,494,107,74,206,292,97,72,87,58,118,106,216,27,91
ENST00000040738.10,527,204,735,308,840,816,461,4499,549,1524,1385,1263,106,1692,708,884,436,1039,839,1087,1072,831,644,1156
ENST00000040877.2,384,101,151,152,219,184,125,1510,349,757,149,299,158,259,242,327,15,159,120,91,47,45,72,250
ENST00000042381.9,375,61,489,115,192,296,30,386,230,669,598,103,106,646,423,875,362,413,256,277,674,734,150,163
ENST00000043402.8,46,10,0,27,10,68,61,41,13,127,11,6,8,15,42,36,94,5,73,6,110,2,41,6
ENST00000044462.12,859,902,468,360,568,1128,711,2329,1142,1534,1221,1296,604,1364,1421,1564,856,854,974,486,629,840,841,719
ENST00000045083.6,1,0,8,38,1,7,2,1,0,0,21,3,0,0,0,0,1,1,11,0,31,1001,6,3
ENST00000046087.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ENST00000046640.9,115,17,69,48,126,237,50,534,89,328,127,212,29,156,134,136,117,206,49,98,183,641,19,113
ENST00000046794.10,0,0,0,0,0,1,2,0,0,0,0,8,0,0,0,0,2,0,0,0,1,2582,0,111
ENST00000052754.10,26,0,679,0,0,117,0,5,1,374,1,15,11,47,1,0,1,1491,4,41,88,0,9,1730
ENST00000053243.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
ENST00000053468.4,87,49,73,129,91,103,76,463,131,392,183,118,87,224,186,196,89,135,124,92,153,201,96,73
ENST00000053469.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000053867.8,890,592,1382,245,1368,1349,290,927,492,1557,1102,1514,459,1186,959,1908,1543,1459,676,789,1068,1599,250,966
