transcript_id,A2780,A549,BJ,BRx-142,Cybrid_Cells,H1-hESC,H9-hESC,HEK293,HEK293T,HeLa,Huh7,LuCaP-PDX,MCF10A,RD-CCL-136,U-251,U-343,U2OS,cardiac_fibroblasts,early_neurons,fibroblast,hESC,megakaryocytes,neurons,normal_prostate
ENST00000000233.10,395,169,225,471,266,948,247,721,351,740,717,560,237,543,547,1103,411,400,725,191,427,711,509,325
ENST00000000412.8,458,309,336,304,827,630,233,917,262,997,472,404,230,803,691,871,1073,651,409,266,539,1417,235,409
ENST00000001008.6,979,687,563,1089,578,1075,1001,2394,1489,1743,881,2131,630,1654,1540,1701,1350,620,599,494,682,818,565,875
ENST00000001146.6,38,21,1,0,8,284,1,17,10,189,70,1,11,4,11,72,59,478,284,0,112,0,85,6
ENST00000002125.9,248,37,66,60,74,153,178,473,245,395,258,180,48,352,159,234,106,170,175,52,83,111,105,89
ENST00000002165.11,163,98,542,247,798,601,277,674,287,1305,1220,638,325,396,611,573,745,561,280,107,342,478,126,299
ENST00000002501.11,35,9,8,104,21,65,55,63,38,61,129,47,4,116,179,87,10,21,7,12,166,23,4,2
ENST00000002596.6,0,4,0,12,0,21,2,2,0,0,0,19,3,0,14,177,0,0,2,0,26,2,0,13
ENST00000003084.11,169,0,0,0,0,17,3,0,0,3,11,2,0,0,0,0,0,0,0,0,0,0,0,218
ENST00000003100.13,837,327,899,655,1694,1636,663,2050,905,1812,1813,1489,381,1693,648,24,1362,1777,758,234,763,1743,708,1075
ENST00000003302.8,305,114,92,63,110,305,483,937,584,462,173,185,48,402,252,285,246,195,283,153,72,80,116,194
ENST00000004982.6,2,0,49,0,0,2,2,0,0,2,9,10,0,70,0,14,0,366,1,8,14,1,0,140
ENST00000005178.6,0,309,0,15,0,451,1,44,32,1069,112,829,4,0,5,2,0,21,7,2,99,12,2,841
ENST00000005257.7,308,120,342,209,177,586,283,833,368,600,510,399,158,501,519,561,152,756,245,292,626,588,187,168
ENST00000005259.8,9,0,4,2,7,11,1,14,2,22,5,10,4,9,6,12,10,8,9,2,3,6,5,16
ENST00000005260.9,289,183,53,281,184,165,243,964,391,698,912,899,179,154,173,161,117,304,8,23,1,1,7,566
ENST00000005284.4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0
ENST00000005286.8,302,204,78,184,147,1135,85,166,62,665,736,154,69,1022,337,686,346,185,727,15,828,0,430,27
ENST00000005340.10,350,58,225,85,108,412,135,799,364,593,219,303,42,565,488,489,156,173,344,269,388,414,181,129
ENST00000005386.8,612,226,274,273,222,580,390,2443,604,1151,966,658,131,844,655,799,258,466,498,264,282,973,362,413
ENST00000005756.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ENST00000005995.8,0,0,0,2,0,0,3,1,0,888,0,1,96,0,0,0,0,2,0,0,0,66,0,5
