transcript_id,A2780,A549,BJ,BRx-142,Cybrid_Cells,H1-hESC,H9-hESC,HEK293,HEK293T,HeLa,Huh7,LuCaP-PDX,MCF10A,RD-CCL-136,U-251,U-343,U2OS,cardiac_fibroblasts,early_neurons,fibroblast,hESC,megakaryocytes,neurons,normal_prostate
ENST00000000233.10,571,82,341,75,315,559,247,177,272,226,543,911,50,1271,305,378,305,414,450,223,232,375,136,711
ENST00000000412.8,710,276,574,236,879,558,322,373,223,182,637,551,134,1618,543,463,1072,698,515,503,549,730,192,684
ENST00000001008.6,1218,368,833,76,893,890,620,813,1016,445,652,4076,415,3077,731,649,886,571,335,698,264,500,178,2014
ENST00000001146.6,18,10,4,0,9,490,4,7,4,12,50,11,6,9,24,62,100,257,106,0,25,0,29,16
ENST00000002125.9,246,32,138,78,332,435,268,169,132,25,218,193,37,743,184,171,280,417,163,132,106,159,58,231
ENST00000002165.11,193,116,1085,20,1180,806,420,370,312,257,2369,1435,96,947,772,579,874,907,277,302,396,599,106,787
ENST00000002501.11,88,16,31,10,35,244,32,41,15,2,162,210,5,308,175,71,13,97,2,7,32,8,2,49
ENST00000002596.6,0,4,0,0,0,70,2,1,0,0,0,35,1,0,31,198,0,1,5,0,18,1,2,64
ENST00000003084.11,176,0,0,0,0,78,11,0,0,0,6,6,0,0,0,2,0,3,0,0,0,0,0,403
ENST00000003100.13,479,104,627,400,637,478,358,424,327,80,1519,1220,15,1057,249,6,333,668,614,404,572,545,465,912
ENST00000003302.8,501,120,452,15,359,1053,937,543,642,54,373,316,60,961,526,371,455,550,714,563,150,175,179,654
ENST00000004982.6,2,1,51,0,0,4,0,2,0,0,5,5,0,95,1,1,1,279,1,4,1,0,0,1067
ENST00000005178.6,0,218,0,0,1,504,1,3,4,90,55,937,2,1,16,0,0,22,8,0,72,7,1,1405
ENST00000005257.7,115,44,440,35,253,263,153,117,66,53,238,254,91,861,233,188,195,448,105,304,233,118,49,225
ENST00000005259.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000005260.9,206,117,88,20,418,470,228,321,194,98,1229,1199,114,326,219,162,230,395,4,22,9,6,2,1407
ENST00000005284.4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ENST00000005286.8,782,287,213,9,497,2575,204,276,76,193,1183,545,36,2263,626,865,470,477,648,80,536,2,326,280
ENST00000005340.10,830,88,769,7,590,1326,242,834,297,169,393,842,8,1284,839,593,228,569,378,897,323,479,123,836
ENST00000005386.8,661,136,570,154,716,708,396,575,197,116,1184,679,182,1645,578,492,544,829,427,381,166,556,173,671
ENST00000005756.5,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,1,6,1,0,3,0,0,3
ENST00000005995.8,0,0,0,0,0,1,0,0,0,426,0,0,34,0,0,0,0,3,0,0,0,70,0,5
ENST00000006015.4,2,0,273,0,90,0,0,155,57,25,121,143,0,249,5,0,57,3,2,5,0,0,0,292
ENST00000006053.7,4,53,0,0,0,26,6,0,0,0,385,0,0,1,35,394,58,22,19,0,13,0,5,519
ENST00000006724.7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENST00000006777.11,482,157,419,111,252,814,60,241,77,48,357,471,20,1232,398,629,261,489,293,70,312,151,120,1110
ENST00000007390.3,395,65,445,9,330,516,147,308,199,233,415,635,121,913,270,304,279,513,254,468,255,393,104,653
ENST00000007414.8,61,10,121,15,191,701,20,19,23,24,7,2,4,390,84,114,75,57,23,49,83,225,9,217
ENST00000007699.10,57,0,1,0,3,99,50,0,1,3,0,5,0,1,2,2,1,7,9,1,6,0,1,21
ENST00000007735.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENST00000008391.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENST00000008527.10,420,83,263,196,286,666,239,275,152,51,764,959,112,1194,307,298,246,359,193,183,329,308,67,659
ENST00000008938.5,5,0,3,0,8,20,4,8,1,0,0,1,0,3,0,0,1,2,1,1,0,1,0,4
ENST00000009041.11,267,104,317,14,484,451,208,183,268,69,752,2208,89,1383,461,344,208,488,727,382,616,438,335,1197
ENST00000009105.5,0,0,164,0,0,145,8,0,0,0,0,0,10,0,0,0,3,0,15,0,7,0,3,70
ENST00000009530.12,93,2,1,0,3,461,83,0,2,0,4,30,0,2,0,3,2,7,73,0,3,452,7,3462
ENST00000011292.8,1,0,0,0,1,698,0,0,0,0,2,0,0,11,0,0,0,30,1,0,1,4,1,3
ENST00000011473.6,195,98,421,450,590,328,149,142,49,55,393,1003,64,829,362,408,424,472,245,165,111,218,94,793
