transcript_id	genome_ribo_reads	genome_rna_reads	txome_ribo_reads	txome_rna_reads
ENST00000000233.10	800	226	740	181
ENST00000000412.8	1001	182	997	137
ENST00000001008.6	1263	445	1743	434
ENST00000001146.6	199	12	189	10
ENST00000002125.9	387	25	395	18
ENST00000002165.11	1397	257	1305	181
ENST00000002501.11	61	2	61	2
ENST00000002596.6	0	0	0	0
ENST00000003084.11	3	0	3	0
ENST00000003100.13	583	80	1812	139
ENST00000003302.8	469	54	462	41
ENST00000004982.6	2	0	2	0
ENST00000005178.6	1133	90	1069	69
ENST00000005257.7	491	53	600	55
ENST00000005259.8	0	0	22	3
ENST00000005260.9	698	98	698	72
ENST00000005284.4	3	1	3	1
ENST00000005286.8	699	193	665	157
ENST00000005340.10	686	169	593	104
ENST00000005386.8	1176	116	1151	78
ENST00000005756.5	0	0	0	0
ENST00000005995.8	1064	426	888	336
ENST00000006015.4	258	25	224	21
ENST00000006053.7	0	0	0	0
ENST00000006724.7	0	0	0	0
ENST00000006777.11	437	48	395	36
ENST00000007390.3	467	233	454	170
ENST00000007414.8	121	24	119	17
ENST00000007699.10	3	3	4	3
ENST00000007735.4	0	0	0	0
ENST00000008391.4	0	0	0	0
ENST00000008527.10	413	51	404	38
ENST00000008938.5	0	0	0	0
ENST00000009041.11	517	69	513	49
ENST00000009105.5	0	0	0	0
ENST00000009530.12	1	0	0	0
ENST00000011292.8	0	0	0	0
ENST00000011473.6	1005	55	999	42
ENST00000011619.6	794	114	778	81
ENST00000011653.9	1	0	1	0
ENST00000011898.10	227	24	209	18
ENST00000012049.10	464	84	451	72
ENST00000012443.9	998	250	882	162
ENST00000013070.11	743	95	735	80
ENST00000013125.8	1401	273	1370	192
ENST00000013222.5	6	0	5	0
ENST00000014914.6	1483	122	1446	103
ENST00000014930.9	491	84	485	70
ENST00000016171.6	440	29	197	5
ENST00000016913.8	2	0	2	0
ENST00000016946.8	0	0	0	0
ENST00000017003.7	389	75	369	62
ENST00000019103.8	0	0	0	0
ENST00000020926.8	1	0	1	0
ENST00000020945.4	236	13	230	9
ENST00000022615.9	1137	250	1322	202
ENST00000023064.9	0	0	0	0
ENST00000024061.7	62	3	60	0
ENST00000025008.10	1092	199	1073	143
ENST00000025301.4	1085	120	1057	91
ENST00000027335.8	0	0	0	0
ENST00000029410.10	214	34	214	27
ENST00000033079.7	246	65	230	53
ENST00000035307.6	515	123	498	109
ENST00000037243.7	587	66	574	55
ENST00000037502.11	0	1	0	1
ENST00000037869.7	181	15	268	13
ENST00000038176.8	474	82	474	67
ENST00000039007.5	0	0	0	0
ENST00000039989.9	1230	133	1187	96
ENST00000040584.6	6	2	6	2
ENST00000040663.8	428	65	412	40
ENST00000040738.10	1524	282	1473	206
ENST00000040877.2	757	164	723	122
ENST00000042381.9	669	132	656	112
ENST00000043402.8	127	14	124	12
ENST00000044462.12	1534	426	1504	282
ENST00000045083.6	0	0	0	0
ENST00000046087.7	0	0	0	0
ENST00000046640.9	328	18	314	15
ENST00000046794.10	0	0	0	0
ENST00000052754.10	374	31	370	23
ENST00000053243.6	0	0	0	0
ENST00000053468.4	392	43	675	41
ENST00000053469.9	0	0	0	0
ENST00000053867.8	1557	371	1537	299
ENST00000054650.8	106	5	125	7
ENST00000054666.11	403	44	394	32
ENST00000054950.4	71	48	253	90
ENST00000055077.8	1000	218	1007	164
ENST00000055335.11	25	4	24	4
ENST00000055682.12	0	0	0	0
ENST00000056217.10	13	5	63	14
ENST00000056233.4	48	5	114	7
ENST00000060969.6	492	34	471	26
ENST00000061240.7	1101	106	1071	77
ENST00000064571.3	0	0	0	0
ENST00000064724.8	23	0	26	0
ENST00000064780.7	88	19	83	16
ENST00000066544.8	719	79	1465	114
ENST00000072644.7	244	16	235	11
ENST00000072869.9	82	16	81	13
ENST00000075120.12	55	2	13	0
ENST00000075503.8	40	1	40	1
ENST00000078429.9	405	59	399	41
ENST00000080059.12	441	140	409	108
ENST00000081029.8	1129	135	1132	95
ENST00000083182.8	696	45	697	36
ENST00000084798.9	38	24	38	19
ENST00000085219.10	2	0	2	0
ENST00000086933.2	0	0	0	0
ENST00000155093.8	2	0	0	0
ENST00000155840.12	4	0	4	0
ENST00000155858.10	0	0	0	0
ENST00000155926.8	29	7	29	7
ENST00000156109.7	610	69	609	51
ENST00000156471.10	1851	248	1852	198
ENST00000156499.7	0	0	0	0
ENST00000156626.12	0	0	0	0
ENST00000157600.8	19	0	19	0
ENST00000157812.7	1312	183	1270	160
ENST00000158009.6	0	4	0	0
ENST00000158762.8	19	3	18	1
ENST00000158771.9	659	54	677	42
ENST00000159060.3	0	0	0	0
ENST00000159087.7	95	19	93	13
ENST00000159111.9	363	56	344	38
ENST00000160262.10	108	23	104	18
ENST00000160298.8	3	0	3	0
ENST00000160373.8	308	46	296	34
ENST00000160382.10	2	0	0	0
ENST00000160827.9	1413	440	1381	329
ENST00000161006.8	0	0	0	0
ENST00000161559.11	0	0	0	0
ENST00000161863.9	1019	127	989	91
ENST00000162044.14	524	61	495	44
ENST00000162330.10	686	196	686	170
ENST00000162391.8	169	10	163	7
ENST00000162749.7	980	275	964	222
ENST00000163416.7	805	91	799	79
ENST00000164024.5	525	206	503	155
ENST00000164133.7	31	11	29	11
ENST00000164139.4	2	0	2	0
ENST00000164227.10	212	49	205	43
ENST00000164305.10	266	27	256	21
ENST00000164640.8	11	5	11	5
ENST00000165524.1	0	0	0	0
ENST00000165698.9	14	0	14	0
ENST00000166139.9	628	140	593	111
ENST00000166244.8	0	0	0	0
ENST00000166345.8	1564	362	1568	276
ENST00000167106.9	4	1	3	1
ENST00000167586.7	12	1	4	0
ENST00000167588.4	0	0	0	0
ENST00000168148.8	0	0	0	0
ENST00000168216.11	968	199	961	162
ENST00000168712.3	0	0	0	0
ENST00000168977.6	0	0	0	0
ENST00000169298.8	8	1	8	1
ENST00000169551.11	554	62	530	42
ENST00000170150.4	0	0	0	0
ENST00000170168.9	165	57	160	51
ENST00000170447.12	672	77	631	54
ENST00000170564.7	332	40	327	25
ENST00000171757.3	0	0	0	0
ENST00000172229.8	3	0	3	0
ENST00000173229.7	215	3	211	3
ENST00000173527.6	454	46	432	37
ENST00000173898.12	0	0	0	0
ENST00000174618.5	239	41	233	38
ENST00000175091.5	1212	317	1203	228
ENST00000175756.10	151	17	141	12
ENST00000176183.6	0	0	0	0
ENST00000176195.4	1	4	1	4
ENST00000176763.10	335	50	328	44
ENST00000177694.2	0	0	0	0
ENST00000178640.10	261	33	260	27
ENST00000179259.6	588	28	18	0
ENST00000180166.6	0	0	0	0
ENST00000180173.10	0	0	0	0
ENST00000181383.10	0	0	0	0
ENST00000181839.10	750	142	722	111
ENST00000182290.9	0	0	0	0
ENST00000182527.4	777	63	770	51
ENST00000183605.10	0	2	0	2
ENST00000184183.8	0	0	0	0
ENST00000184266.3	481	105	728	90
ENST00000184956.11	775	96	761	72
ENST00000185150.9	672	82	666	64
ENST00000186436.10	958	75	945	59
ENST00000187397.8	1	0	1	0
ENST00000187762.7	27	7	25	7
ENST00000188312.6	617	40	616	29
ENST00000188790.9	696	56	674	40
ENST00000190165.3	0	0	0	0
ENST00000192314.7	6	3	5	3
ENST00000192788.6	423	60	419	44
