sample	route	region	n_transcripts	spearman_rho	pearson_log2_raw	ribo_reads	rna_reads	ribo_library	rna_library	ribo_cds_frac	rna_cds_frac	ribo_ambiguous_excluded	rna_ambiguous_excluded
A2780	genome	cds	19736	0.9538639839021812	0.9694745593097472	2979150	4779006	3477038	10601402	0.8568068568707043	0.4507899992850002	58617	95601
A2780	transcriptome	cds	19736	0.9599451632462124	0.9734614385913544	3089428	4945485	3274402	7699985	0.9435090743286866	0.6422720304000592	0	0
A549	genome	cds	19736	0.9394033890967228	0.9535577598676362	1385420	1449244	1638810	2796997	0.8453817098992562	0.51814285106491	27715	25336
A549	transcriptome	cds	19736	0.9427194456011688	0.9562908645164636	1513296	1490337	1628525	2235718	0.9292433336915308	0.6666033014897228	0	0
BJ	genome	cds	19736	0.951127979480213	0.9551133281065792	2365676	5499761	2604037	12109801	0.9084648182802318	0.4541578346332859	37292	88451
BJ	transcriptome	cds	19736	0.9537070095967202	0.9599463365229882	2408501	5425167	2516610	8509212	0.9570418141865444	0.6375639718460416	0	0
BRx-142	genome	cds	19736	0.8520906995824775	0.8374057128256364	1887936	972734	2236968	1950081	0.8439709463881468	0.4988172286176831	42884	23586
BRx-142	transcriptome	cds	19736	0.8590905274691395	0.8423853593656587	1982501	971921	2151625	1593866	0.9213970835996048	0.6097884012834203	0	0
Cybrid_Cells	genome	cds	19736	0.9479957123823164	0.9527661291950243	2488701	5056714	3470154	11875325	0.7171730707052194	0.4258168934323902	44021	87293
Cybrid_Cells	transcriptome	cds	19736	0.949144903866949	0.95459456158446	2536512	4952098	2925122	7805988	0.8671474215434433	0.6343973370187093	0	0
H1-hESC	genome	cds	19736	0.9003647806835692	0.9191732527250032	4551381	8310699	5086899	25001119	0.8947260403636872	0.3324130811904859	86222	136323
H1-hESC	transcriptome	cds	19736	0.9013245604310473	0.9228812936679136	4742184	7739305	4972064	13390411	0.9537656796050896	0.5779736708604388	0	0
H9-hESC	genome	cds	19736	0.9381478149977944	0.9455684056411398	2181544	2701103	2472760	10337772	0.8822303822449409	0.261284830038813	41311	44753
H9-hESC	transcriptome	cds	19736	0.9402129330314318	0.9478596732600082	2289663	2625057	2399900	4500559	0.9540660027501146	0.5832735444641433	0	0
HEK293	genome	cds	19736	0.948686153272275	0.9596023398593048	8499800	3631168	9455349	11516358	0.8989409063589298	0.3153052379927751	159359	63064
HEK293	transcriptome	cds	19736	0.948813428052226	0.9614366480117555	8694139	3319297	9079035	5367403	0.957606067164627	0.6184176966029941	0	0
HEK293T	genome	cds	19736	0.9487242261642432	0.9608866625426478	2578529	2293611	2959115	5029583	0.87138519455986	0.4560240878816395	53093	49186
HEK293T	transcriptome	cds	19736	0.9519052686251496	0.9636245234129008	2929789	2579668	3123271	3867087	0.9380514851256904	0.6670830007186288	0	0
HeLa	genome	cds	19736	0.93414864794002	0.928760188599557	6116936	1374660	7147412	2525862	0.8558252973244022	0.544234008033693	112489	26384
HeLa	transcriptome	cds	19736	0.9392918695248972	0.9275891035225716	6273247	1135368	6683715	1632915	0.9385868487809548	0.695301347590046	0	0
Huh7	genome	cds	19736	0.9573576447184328	0.9729187908491118	4386474	7537156	5671080	14959341	0.7734812416682537	0.5038427829140334	89846	139852
Huh7	transcriptome	cds	19736	0.9627660747431668	0.9763879839810672	4822147	7706830	5497004	11902125	0.8772318521143517	0.647517145047628	0	0
LuCaP-PDX	genome	cds	19736	0.9553724643000168	0.9669786276001302	4199744	8448480	4823255	19698913	0.8707281700843102	0.4288805174173823	78345	143704
LuCaP-PDX	transcriptome	cds	19736	0.9560034038226466	0.970549479937164	4316887	8500340	4547173	13897857	0.9493562263850528	0.6116295483541095	0	0
MCF10A	genome	cds	19736	0.9308792556269624	0.942818928573902	1208662	1086708	1298431	3062954	0.9308634806162208	0.3547908326406469	25001	19899
MCF10A	transcriptome	cds	19736	0.933649294684794	0.9452168128512474	1321224	1054388	1357288	1683196	0.9734293679749618	0.6264202148769364	0	0
RD-CCL-136	genome	cds	19736	0.9632244791439036	0.9740796746889416	5358931	13179958	6313389	26232632	0.8488200236038046	0.5024260623181083	99625	250374
RD-CCL-136	transcriptome	cds	19736	0.9674153241311484	0.9772273222668104	5577164	13961427	6025897	21857425	0.9255325804606352	0.638749852738829	0	0
U-251	genome	cds	19736	0.9437564941324258	0.9564256274228862	3973998	4352652	4557677	9108073	0.8719349791571452	0.4778894503809971	75096	74675
U-251	transcriptome	cds	19736	0.9450665835109836	0.9593632952550968	4167137	4265637	4465239	7350925	0.9332394077898182	0.5802857463516496	0	0
U-343	genome	cds	19736	0.95000437363263	0.9655510539070584	5204785	3875616	6149112	8080678	0.846428720114384	0.4796152006056917	99117	68214
U-343	transcriptome	cds	19736	0.9507645089704108	0.9678646131933406	5460828	3806268	5934504	6674998	0.9201827145116088	0.5702275865850447	0	0
U2OS	genome	cds	19736	0.9328427319224738	0.940367111949886	2585855	3911864	2860298	9034742	0.9040509065838594	0.4329801559358308	47976	65409
U2OS	transcriptome	cds	19736	0.9363881853275056	0.945451407708624	2606032	3025447	2710110	4374606	0.9615963927663452	0.6915930257490618	0	0
cardiac_fibroblasts	genome	cds	19736	0.9434845484690284	0.9449887461980016	3897822	5997937	4280442	17245153	0.9106120349253652	0.3478042206989987	63172	95899
cardiac_fibroblasts	transcriptome	cds	19736	0.9451867484504848	0.9488110586612286	4037145	5799075	4178214	10491756	0.9662370094016248	0.5527268266627626	0	0
early_neurons	genome	cds	19736	0.946917250605952	0.961451342043196	3278150	4949353	4078480	13316633	0.803767580078853	0.371666997205675	64585	89894
early_neurons	transcriptome	cds	19736	0.9525998683439346	0.9653961992136968	3376797	5215821	3749611	8964560	0.9005726193997191	0.5818267711968016	0	0
fibroblast	genome	cds	19736	0.9504316488850206	0.9659410685493668	1808395	4106088	2200815	9035558	0.8216933272446798	0.4544365715985665	34362	70815
fibroblast	transcriptome	cds	19736	0.9544340609324165	0.968357200788222	1848491	4208062	2038786	6301144	0.906662592346622	0.6678250806520213	0	0
hESC	genome	cds	19736	0.9391384249830264	0.9534193203145528	3960715	3902982	5001479	8480539	0.7919087533907471	0.4602280586175006	78043	73777
hESC	transcriptome	cds	19736	0.943751455768393	0.9565341209230338	4054848	4024264	4580790	6622077	0.8851853064646055	0.6077041991508102	0	0
megakaryocytes	genome	cds	19736	0.9512376005115466	0.9650864207555996	4668435	3910092	5434289	10640715	0.859070064179509	0.3674651562418503	93226	73306
megakaryocytes	transcriptome	cds	19736	0.9517587541114864	0.966511572906457	4823707	3682522	5136828	6004893	0.9390439002434966	0.6132535583897998	0	0
neurons	genome	cds	19736	0.941955934435826	0.9559286990316468	2114697	2145816	2660716	5758497	0.7947849375882281	0.3726347343760012	45182	40522
neurons	transcriptome	cds	19736	0.9470265550208304	0.9588320070875116	2191988	2293924	2448283	3936961	0.8953164319647687	0.5826636331932168	0	0
normal_prostate	genome	cds	19736	0.9353633027602536	0.9373467333164014	2895759	10812715	3495230	40455245	0.8284888262002786	0.267275973733443	52097	174175
normal_prostate	transcriptome	cds	19736	0.939883775281578	0.9424129731355496	3003348	10699046	3201686	17578790	0.9380520138452052	0.6086338138176746	0	0
