sample,read_length,in_phase1,periodic,psite_offset,n_psite_in_cds,n_frame0,n_frame1,n_frame2,pct_frame0,pct_frame1,pct_frame2
A2780,26,True,False,11,442232,202413,109094,130725,45.8,24.7,29.6
A2780,27,True,True,11,890011,596892,203725,89394,67.1,22.9,10.0
A2780,28,True,True,11,1065548,884929,95282,85337,83.0,8.9,8.0
A2780,29,True,True,11,451718,320036,33788,97894,70.8,7.5,21.7
A549,23,True,True,11,79263,41800,15144,22319,52.7,19.1,28.2
A549,24,True,True,11,83548,40324,21600,21624,48.3,25.9,25.9
A549,25,True,True,11,114142,66153,21894,26095,58.0,19.2,22.9
A549,26,True,True,11,186674,105349,29304,52021,56.4,15.7,27.9
A549,27,True,True,11,286940,178624,49430,58886,62.3,17.2,20.5
A549,28,True,True,11,355873,266714,36209,52950,74.9,10.2,14.9
A549,29,True,True,11,236778,157767,13279,65732,66.6,5.6,27.8
BJ,26,True,False,11,82797,36545,17566,28686,44.1,21.2,34.6
BJ,27,True,False,11,323102,201814,65932,55356,62.5,20.4,17.1
BJ,28,True,True,11,835434,642047,70171,123216,76.9,8.4,14.7
BJ,29,True,True,11,724379,463769,31636,228974,64.0,4.4,31.6
BJ,30,True,False,12,301502,140299,146211,14992,46.5,48.5,5.0
BRx-142,26,True,True,11,108824,73512,11788,23524,67.6,10.8,21.6
BRx-142,27,True,True,11,212173,131037,26859,54277,61.8,12.7,25.6
BRx-142,28,True,True,11,390463,264298,51878,74287,67.7,13.3,19.0
BRx-142,29,True,True,11,530293,376365,46438,107490,71.0,8.8,20.3
BRx-142,30,True,True,11,411092,246992,27031,137069,60.1,6.6,33.3
BRx-142,31,True,False,11,176380,90313,12964,73103,51.2,7.4,41.4
Cybrid_Cells,23,True,True,11,89497,50938,16262,22297,56.9,18.2,24.9
Cybrid_Cells,24,True,True,11,143366,78879,31232,33255,55.0,21.8,23.2
Cybrid_Cells,25,True,True,11,249181,158012,42334,48835,63.4,17.0,19.6
Cybrid_Cells,26,True,True,11,372595,231740,52411,88444,62.2,14.1,23.7
Cybrid_Cells,27,True,True,11,486783,318601,78580,89602,65.5,16.1,18.4
