sample,read_length,n_reads,pct_reads,in_phase1,psite_offset,frame0_pct,frame1_pct,frame2_pct,periodic,n_first10,n_first10_frame0,n_first10_frame1,n_first10_frame2
A2780,20,3411,0.08,False,,,,,False,,,,
A2780,21,4497,0.11,False,,,,,False,,,,
A2780,22,6418,0.16,False,,,,,False,,,,
A2780,23,10254,0.25,False,,,,,False,,,,
A2780,24,36750,0.91,False,,,,,False,,,,
A2780,25,196195,4.86,False,,,,,False,,,,
A2780,26,537904,13.34,True,11.0,46.7,28.1,25.2,False,10577.0,4941.0,2972.0,2664.0
A2780,27,1074677,26.65,True,11.0,66.0,22.4,11.6,True,20445.0,13494.0,4578.0,2373.0
A2780,28,1295635,32.13,True,11.0,75.1,12.6,12.4,True,22952.0,17228.0,2888.0,2836.0
A2780,29,568822,14.1,True,11.0,68.4,11.1,20.5,True,10447.0,7146.0,1159.0,2142.0
A2780,30,156912,3.89,False,,,,,False,,,,
A2780,31,62773,1.56,False,,,,,False,,,,
A2780,32,32501,0.81,False,,,,,False,,,,
A2780,33,19449,0.48,False,,,,,False,,,,
A2780,34,12307,0.31,False,,,,,False,,,,
A2780,35,7073,0.18,False,,,,,False,,,,
A2780,36,3645,0.09,False,,,,,False,,,,
A2780,37,1730,0.04,False,,,,,False,,,,
A2780,38,959,0.02,False,,,,,False,,,,
A2780,39,648,0.02,False,,,,,False,,,,
A2780,40,462,0.01,False,,,,,False,,,,
A549,20,86949,4.26,False,,,,,False,,,,
A549,21,94445,4.63,False,,,,,False,,,,
A549,22,96994,4.76,False,,,,,False,,,,
A549,23,102173,5.01,True,11.0,55.1,15.6,29.3,True,3141.0,1732.0,490.0,919.0
A549,24,105289,5.16,True,11.0,51.4,23.6,25.0,True,3293.0,1693.0,777.0,823.0
A549,25,147450,7.23,True,11.0,57.5,18.6,23.9,True,4370.0,2514.0,811.0,1045.0
A549,26,226710,11.12,True,11.0,51.6,19.4,29.0,True,6713.0,3465.0,1299.0,1949.0
A549,27,342064,16.77,True,11.0,62.4,19.7,17.9,True,11421.0,7129.0,2245.0,2047.0
A549,28,427826,20.98,True,11.0,73.7,11.6,14.7,True,15199.0,11207.0,1764.0,2228.0
A549,29,287298,14.09,True,11.0,67.4,6.9,25.7,True,10923.0,7366.0,752.0,2805.0
A549,30,93893,4.6,False,,,,,False,,,,
A549,31,16837,0.83,False,,,,,False,,,,
A549,32,4269,0.21,False,,,,,False,,,,
A549,33,2313,0.11,False,,,,,False,,,,
A549,34,1335,0.07,False,,,,,False,,,,
A549,35,844,0.04,False,,,,,False,,,,
A549,36,657,0.03,False,,,,,False,,,,
A549,37,568,0.03,False,,,,,False,,,,
A549,38,595,0.03,False,,,,,False,,,,
A549,39,568,0.03,False,,,,,False,,,,
A549,40,569,0.03,False,,,,,False,,,,
BJ,20,42749,1.38,False,,,,,False,,,,
BJ,21,57603,1.86,False,,,,,False,,,,
BJ,22,65575,2.12,False,,,,,False,,,,
BJ,23,63604,2.06,False,,,,,False,,,,
BJ,24,63600,2.06,False,,,,,False,,,,
BJ,25,72260,2.34,False,,,,,False,,,,
BJ,26,95277,3.08,True,11.0,43.3,20.3,36.4,False,1410.0,611.0,286.0,513.0
BJ,27,369843,11.97,True,11.0,47.5,27.7,24.8,False,5330.0,2530.0,1477.0,1323.0
BJ,28,956078,30.94,True,11.0,59.5,19.2,21.2,True,13849.0,8247.0,2663.0,2939.0
BJ,29,831753,26.92,True,11.0,56.6,15.5,28.0,True,12790.0,7233.0,1978.0,3579.0
BJ,30,351086,11.36,True,12.0,45.6,41.8,12.6,False,6124.0,2795.0,2559.0,770.0
BJ,31,96386,3.12,False,,,,,False,,,,
BJ,32,18684,0.6,False,,,,,False,,,,
BJ,33,3626,0.12,False,,,,,False,,,,
BJ,34,1060,0.03,False,,,,,False,,,,
BJ,35,392,0.01,False,,,,,False,,,,
BJ,36,131,0.0,False,,,,,False,,,,
BJ,37,65,0.0,False,,,,,False,,,,
BJ,38,22,0.0,False,,,,,False,,,,
BJ,39,18,0.0,False,,,,,False,,,,
BJ,40,7,0.0,False,,,,,False,,,,
BRx-142,20,13149,0.52,False,,,,,False,,,,
BRx-142,21,16775,0.66,False,,,,,False,,,,
BRx-142,22,25514,1.0,False,,,,,False,,,,
BRx-142,23,35605,1.4,False,,,,,False,,,,
BRx-142,24,45848,1.8,False,,,,,False,,,,
BRx-142,25,72627,2.85,False,,,,,False,,,,
BRx-142,26,135097,5.3,True,11.0,57.6,14.4,28.0,True,4309.0,2484.0,620.0,1205.0
BRx-142,27,255431,10.02,True,11.0,52.2,17.6,30.2,True,8291.0,4331.0,1457.0,2503.0
BRx-142,28,473593,18.58,True,11.0,57.6,18.0,24.3,True,15261.0,8795.0,2751.0,3715.0
BRx-142,29,647210,25.39,True,11.0,61.9,13.7,24.4,True,20539.0,12707.0,2819.0,5013.0
BRx-142,30,504674,19.8,True,11.0,53.4,11.8,34.8,True,16911.0,9034.0,1995.0,5882.0
BRx-142,31,220963,8.67,True,11.0,48.1,12.3,39.5,False,8606.0,4142.0,1062.0,3402.0
BRx-142,32,64411,2.53,False,,,,,False,,,,
BRx-142,33,19488,0.76,False,,,,,False,,,,
BRx-142,34,8875,0.35,False,,,,,False,,,,
BRx-142,35,5646,0.22,False,,,,,False,,,,
BRx-142,36,2566,0.1,False,,,,,False,,,,
BRx-142,37,992,0.04,False,,,,,False,,,,
BRx-142,38,463,0.02,False,,,,,False,,,,
BRx-142,39,256,0.01,False,,,,,False,,,,
BRx-142,40,158,0.01,False,,,,,False,,,,
Cybrid_Cells,20,32097,0.74,False,,,,,False,,,,
Cybrid_Cells,21,52541,1.21,False,,,,,False,,,,
Cybrid_Cells,22,86572,1.99,False,,,,,False,,,,
Cybrid_Cells,23,137837,3.16,True,11.0,54.8,19.0,26.2,True,5241.0,2870.0,998.0,1373.0
Cybrid_Cells,24,219279,5.03,True,11.0,52.8,25.3,21.9,True,7022.0,3710.0,1774.0,1538.0
Cybrid_Cells,25,365706,8.39,True,11.0,57.3,21.1,21.6,True,9965.0,5709.0,2104.0,2152.0
Cybrid_Cells,26,519153,11.91,True,11.0,50.0,21.6,28.4,True,12923.0,6457.0,2796.0,3670.0
Cybrid_Cells,27,670143,15.38,True,11.0,53.5,27.3,19.2,True,17160.0,9184.0,4684.0,3292.0
Cybrid_Cells,28,818081,18.77,True,11.0,67.3,18.7,14.0,True,20902.0,14074.0,3899.0,2929.0
Cybrid_Cells,29,509740,11.7,True,11.0,68.2,12.6,19.2,True,14545.0,9919.0,1834.0,2792.0
Cybrid_Cells,30,230215,5.28,True,11.0,62.4,12.1,25.5,True,6205.0,3873.0,750.0,1582.0
Cybrid_Cells,31,138251,3.17,False,,,,,False,,,,
Cybrid_Cells,32,111958,2.57,False,,,,,False,,,,
Cybrid_Cells,33,99836,2.29,False,,,,,False,,,,
Cybrid_Cells,34,93829,2.15,False,,,,,False,,,,
Cybrid_Cells,35,91363,2.1,False,,,,,False,,,,
Cybrid_Cells,36,77986,1.79,False,,,,,False,,,,
Cybrid_Cells,37,59565,1.37,False,,,,,False,,,,
Cybrid_Cells,38,32253,0.74,False,,,,,False,,,,
Cybrid_Cells,39,9484,0.22,False,,,,,False,,,,
Cybrid_Cells,40,1912,0.04,False,,,,,False,,,,
H1-hESC,20,8065,0.14,False,,,,,False,,,,
H1-hESC,21,22208,0.39,False,,,,,False,,,,
H1-hESC,22,59351,1.03,False,,,,,False,,,,
H1-hESC,23,119549,2.08,False,,,,,False,,,,
H1-hESC,24,180796,3.15,False,,,,,False,,,,
H1-hESC,25,288375,5.02,True,11.0,56.8,17.7,25.5,True,7169.0,4070.0,1268.0,1831.0
H1-hESC,26,491667,8.55,True,11.0,43.6,24.0,32.4,False,12675.0,5525.0,3044.0,4106.0
H1-hESC,27,1126928,19.61,True,11.0,59.0,25.6,15.4,True,25887.0,15272.0,6632.0,3983.0
H1-hESC,28,1943207,33.81,True,11.0,70.1,14.3,15.6,True,39658.0,27805.0,5671.0,6182.0
H1-hESC,29,1236722,21.52,True,11.0,62.0,9.7,28.3,True,27077.0,16783.0,2629.0,7665.0
H1-hESC,30,236181,4.11,False,,,,,False,,,,
H1-hESC,31,26080,0.45,False,,,,,False,,,,
H1-hESC,32,5385,0.09,False,,,,,False,,,,
H1-hESC,33,1841,0.03,False,,,,,False,,,,
H1-hESC,34,788,0.01,False,,,,,False,,,,
H1-hESC,35,356,0.01,False,,,,,False,,,,
H1-hESC,36,94,0.0,False,,,,,False,,,,
H1-hESC,37,46,0.0,False,,,,,False,,,,
H1-hESC,38,8,0.0,False,,,,,False,,,,
H1-hESC,39,2,0.0,False,,,,,False,,,,
H1-hESC,40,2,0.0,False,,,,,False,,,,
H9-hESC,20,38815,1.39,False,,,,,False,,,,
H9-hESC,21,10137,0.36,False,,,,,False,,,,
H9-hESC,22,8518,0.31,False,,,,,False,,,,
H9-hESC,23,14853,0.53,False,,,,,False,,,,
H9-hESC,24,60120,2.15,False,,,,,False,,,,
H9-hESC,25,180776,6.48,True,11.0,58.5,16.5,25.0,True,3683.0,2153.0,609.0,921.0
H9-hESC,26,445369,15.96,True,11.0,57.3,24.5,18.2,True,8108.0,4645.0,1990.0,1473.0
H9-hESC,27,864240,30.97,True,11.0,73.6,16.5,10.0,True,14879.0,10944.0,2449.0,1486.0
H9-hESC,28,753958,27.01,True,11.0,78.7,9.0,12.3,True,13884.0,10929.0,1251.0,1704.0
H9-hESC,29,228417,8.18,True,11.0,67.6,11.4,21.0,True,4837.0,3270.0,549.0,1018.0
H9-hESC,30,55742,2.0,False,,,,,False,,,,
H9-hESC,31,30334,1.09,False,,,,,False,,,,
H9-hESC,32,26360,0.94,False,,,,,False,,,,
H9-hESC,33,24579,0.88,False,,,,,False,,,,
H9-hESC,34,21290,0.76,False,,,,,False,,,,
H9-hESC,35,15057,0.54,False,,,,,False,,,,
H9-hESC,36,7683,0.28,False,,,,,False,,,,
H9-hESC,37,2836,0.1,False,,,,,False,,,,
H9-hESC,38,1125,0.04,False,,,,,False,,,,
H9-hESC,39,527,0.02,False,,,,,False,,,,
H9-hESC,40,254,0.01,False,,,,,False,,,,
HEK293,20,49667,0.47,False,,,,,False,,,,
HEK293,21,54126,0.51,False,,,,,False,,,,
HEK293,22,55122,0.52,False,,,,,False,,,,
HEK293,23,71602,0.68,False,,,,,False,,,,
HEK293,24,117929,1.12,False,,,,,False,,,,
HEK293,25,281648,2.67,False,,,,,False,,,,
HEK293,26,699971,6.64,True,11.0,52.4,18.6,29.0,True,12465.0,6534.0,2317.0,3614.0
HEK293,27,1433453,13.59,True,11.0,51.7,21.2,27.1,True,24854.0,12855.0,5265.0,6734.0
HEK293,28,2298800,21.79,True,11.0,56.6,19.3,24.1,True,40082.0,22687.0,7730.0,9665.0
HEK293,29,2522235,23.91,True,11.0,56.3,14.1,29.6,True,45047.0,25368.0,6332.0,13347.0
HEK293,30,1741149,16.51,True,11.0,48.9,10.8,40.3,False,32888.0,16087.0,3549.0,13252.0
HEK293,31,759741,7.2,True,12.0,52.9,37.5,9.7,True,17726.0,9371.0,6642.0,1713.0
HEK293,32,260331,2.47,False,,,,,False,,,,
HEK293,33,99374,0.94,False,,,,,False,,,,
HEK293,34,49282,0.47,False,,,,,False,,,,
HEK293,35,30451,0.29,False,,,,,False,,,,
HEK293,36,14844,0.14,False,,,,,False,,,,
HEK293,37,5246,0.05,False,,,,,False,,,,
HEK293,38,2136,0.02,False,,,,,False,,,,
HEK293,39,1096,0.01,False,,,,,False,,,,
HEK293,40,566,0.01,False,,,,,False,,,,
HEK293T,20,13561,0.39,False,,,,,False,,,,
HEK293T,21,29682,0.84,False,,,,,False,,,,
HEK293T,22,49720,1.41,False,,,,,False,,,,
HEK293T,23,74166,2.11,False,,,,,False,,,,
HEK293T,24,102517,2.92,False,,,,,False,,,,
HEK293T,25,190506,5.42,False,,,,,False,,,,
HEK293T,26,464064,13.21,True,11.0,48.2,23.0,28.8,False,11711.0,5646.0,2696.0,3369.0
HEK293T,27,846104,24.08,True,11.0,58.1,24.7,17.2,True,21598.0,12559.0,5333.0,3706.0
HEK293T,28,1064749,30.3,True,11.0,73.3,15.1,11.6,True,27259.0,19992.0,4110.0,3157.0
HEK293T,29,584198,16.62,True,11.0,75.1,7.0,18.0,True,16719.0,12551.0,1162.0,3006.0
HEK293T,30,84142,2.39,False,,,,,False,,,,
HEK293T,31,7645,0.22,False,,,,,False,,,,
HEK293T,32,1194,0.03,False,,,,,False,,,,
HEK293T,33,393,0.01,False,,,,,False,,,,
HEK293T,34,283,0.01,False,,,,,False,,,,
HEK293T,35,219,0.01,False,,,,,False,,,,
HEK293T,36,232,0.01,False,,,,,False,,,,
HEK293T,37,192,0.01,False,,,,,False,,,,
HEK293T,38,185,0.01,False,,,,,False,,,,
HEK293T,39,149,0.0,False,,,,,False,,,,
HEK293T,40,116,0.0,False,,,,,False,,,,
HeLa,20,3037,0.04,False,,,,,False,,,,
HeLa,21,5334,0.07,False,,,,,False,,,,
HeLa,22,7271,0.1,False,,,,,False,,,,
HeLa,23,10668,0.14,False,,,,,False,,,,
HeLa,24,28423,0.37,False,,,,,False,,,,
HeLa,25,282842,3.7,False,,,,,False,,,,
HeLa,26,1305173,17.09,True,11.0,47.0,21.8,31.1,False,30712.0,14438.0,6709.0,9565.0
HeLa,27,2145523,28.1,True,11.0,55.7,24.2,20.0,True,49309.0,27480.0,11944.0,9885.0
HeLa,28,2397193,31.4,True,11.0,66.6,15.0,18.4,True,55279.0,36821.0,8314.0,10144.0
HeLa,29,1299523,17.02,True,11.0,62.9,7.7,29.4,True,34254.0,21545.0,2650.0,10059.0
HeLa,30,141236,1.85,False,,,,,False,,,,
HeLa,31,7202,0.09,False,,,,,False,,,,
HeLa,32,1013,0.01,False,,,,,False,,,,
HeLa,33,328,0.0,False,,,,,False,,,,
HeLa,34,115,0.0,False,,,,,False,,,,
HeLa,35,50,0.0,False,,,,,False,,,,
HeLa,36,46,0.0,False,,,,,False,,,,
HeLa,37,32,0.0,False,,,,,False,,,,
HeLa,38,21,0.0,False,,,,,False,,,,
HeLa,39,16,0.0,False,,,,,False,,,,
HeLa,40,8,0.0,False,,,,,False,,,,
Huh7,20,18356,0.27,False,,,,,False,,,,
Huh7,21,25729,0.38,False,,,,,False,,,,
Huh7,22,52604,0.78,False,,,,,False,,,,
Huh7,23,147448,2.18,False,,,,,False,,,,
Huh7,24,362074,5.34,False,,,,,False,,,,
