sample	alignment	read_length	method	n_down_first10	dom_frac	dom_frame	offset_periodicity	offset_argmax	offset_in_table	reproduces_table	periodicity_changed_value
A2780	genome	26	periodicity	7393	0.4833	1	11	11	11	True	False
A2780	genome	27	periodicity	15557	0.6558	1	11	11	11	True	False
A2780	genome	28	periodicity	18625	0.7307	1	11	11	11	True	False
A2780	genome	29	periodicity	8586	0.6443	1	11	11	11	True	False
A549	genome	23	periodicity	2102	0.5671	1	11	12	11	True	True
A549	genome	24	periodicity	2230	0.5305	1	11	7	11	True	True
A549	genome	25	periodicity	3059	0.5995	1	11	11	11	True	False
A549	genome	26	periodicity	4852	0.5519	1	11	9	11	True	True
A549	genome	27	periodicity	8034	0.6281	1	11	11	11	True	False
A549	genome	28	periodicity	10813	0.7211	1	11	11	11	True	False
A549	genome	29	periodicity	7951	0.6433	1	11	11	11	True	False
BJ	genome	26	periodicity	1017	0.4671	1	11	9	11	True	True
BJ	genome	27	periodicity	3899	0.4668	1	11	11	11	True	False
BJ	genome	28	periodicity	10829	0.5676	1	11	11	11	True	False
BJ	genome	29	periodicity	10232	0.5239	1	11	11	11	True	False
BJ	genome	30	periodicity	4495	0.4171	0	12	12	12	True	False
BRx-142	genome	26	periodicity	3897	0.6005	1	11	11	11	True	False
BRx-142	genome	27	periodicity	7467	0.5409	1	11	11	11	True	False
BRx-142	genome	28	periodicity	13582	0.5795	1	11	11	11	True	False
BRx-142	genome	29	periodicity	18531	0.6251	1	11	11	11	True	False
BRx-142	genome	30	periodicity	15208	0.5335	1	11	11	11	True	False
BRx-142	genome	31	periodicity	7681	0.4757	1	11	11	11	True	False
Cybrid_Cells	genome	23	periodicity	1911	0.5154	1	11	11	11	True	False
Cybrid_Cells	genome	24	periodicity	2899	0.4853	1	11	11	11	True	False
Cybrid_Cells	genome	25	periodicity	4573	0.52	1	11	11	11	True	False
Cybrid_Cells	genome	26	periodicity	6335	0.4838	1	11	11	11	True	False
