sample,read_length,in_phase1,periodic,psite_offset,n_psite_in_cds,n_frame0,n_frame1,n_frame2,pct_frame0,pct_frame1,pct_frame2
A2780,26,True,False,11,500795,227008,125308,148479,45.3,25.0,29.6
A2780,27,True,True,11,978116,651704,227431,98981,66.6,23.3,10.1
A2780,28,True,True,11,1150754,952636,104486,93632,82.8,9.1,8.1
A2780,29,True,True,11,485351,343413,35990,105948,70.8,7.4,21.8
A549,23,True,True,11,95363,49756,18530,27077,52.2,19.4,28.4
A549,24,True,True,11,100395,48334,26160,25901,48.1,26.1,25.8
A549,25,True,True,11,133868,77354,25769,30745,57.8,19.2,23.0
A549,26,True,True,11,217591,121443,34794,61354,55.8,16.0,28.2
A549,27,True,True,11,327188,202113,57381,67694,61.8,17.5,20.7
A549,28,True,True,11,401092,298645,41732,60715,74.5,10.4,15.1
A549,29,True,True,11,264723,175623,15009,74091,66.3,5.7,28.0
BJ,26,True,False,11,91643,40279,19509,31855,44.0,21.3,34.8
BJ,27,True,False,11,352222,220107,72060,60055,62.5,20.5,17.1
BJ,28,True,True,11,894996,685945,75502,133549,76.6,8.4,14.9
BJ,29,True,True,11,767583,490188,33594,243801,63.9,4.4,31.8
BJ,30,True,False,12,321353,150868,155731,14754,46.9,48.5,4.6
BRx-142,26,True,True,11,125446,83914,13993,27539,66.9,11.2,22.0
BRx-142,27,True,True,11,238688,146211,30946,61531,61.3,13.0,25.8
BRx-142,28,True,True,11,431816,289529,58731,83556,67.0,13.6,19.3
BRx-142,29,True,True,11,574846,404606,52051,118189,70.4,9.1,20.6
BRx-142,30,True,True,11,446646,267391,30288,148967,59.9,6.8,33.4
BRx-142,31,True,False,11,192950,98521,14461,79968,51.1,7.5,41.4
Cybrid_Cells,23,True,True,11,102484,57934,18716,25834,56.5,18.3,25.2
Cybrid_Cells,24,True,True,11,163092,89894,35827,37371,55.1,22.0,22.9
Cybrid_Cells,25,True,True,11,265241,168663,44726,51852,63.6,16.9,19.5
Cybrid_Cells,26,True,False,11,407859,252706,57657,97496,62.0,14.1,23.9
Cybrid_Cells,27,True,True,11,529179,345885,86179,97115,65.4,16.3,18.4
Cybrid_Cells,28,True,True,11,639792,492692,62578,84522,77.0,9.8,13.2
Cybrid_Cells,29,True,True,11,360338,231530,32570,96238,64.3,9.0,26.7
Cybrid_Cells,30,True,True,11,128076,56848,20154,51074,44.4,15.7,39.9
H1-hESC,25,True,True,11,281477,175848,47891,57738,62.5,17.0,20.5
H1-hESC,26,True,False,11,478605,188912,104567,185126,39.5,21.8,38.7
H1-hESC,27,True,True,11,1076923,664590,290728,121605,61.7,27.0,11.3
H1-hESC,28,True,True,11,1805054,1469584,159325,176145,81.4,8.8,9.8
H1-hESC,29,True,True,11,1145996,739930,39656,366410,64.6,3.5,32.0
H9-hESC,25,True,True,11,177024,111157,28184,37683,62.8,15.9,21.3
H9-hESC,26,True,True,11,432625,269882,106572,56171,62.4,24.6,13.0
H9-hESC,27,True,True,11,813112,664085,109188,39839,81.7,13.4,4.9
H9-hESC,28,True,True,11,687004,595852,39914,51238,86.7,5.8,7.5
H9-hESC,29,True,True,11,196086,142562,15162,38362,72.7,7.7,19.6
HEK293,26,True,True,11,687480,425996,93982,167502,62.0,13.7,24.4
HEK293,27,True,True,11,1369562,853267,208456,307839,62.3,15.2,22.5
HEK293,28,True,True,11,2137879,1426104,250973,460802,66.7,11.7,21.6
HEK293,29,True,True,11,2302329,1449384,148541,704404,63.0,6.5,30.6
HEK293,30,True,False,11,1586975,819302,63980,703693,51.6,4.0,44.3
HEK293,31,True,True,12,687054,380359,270288,36407,55.4,39.3,5.3
HEK293T,25,True,True,11,185935,99416,44220,42299,53.5,23.8,22.7
HEK293T,26,True,False,11,455276,240114,90664,124498,52.7,19.9,27.3
HEK293T,27,True,True,11,809559,493100,173995,142464,60.9,21.5,17.6
HEK293T,28,True,True,11,987994,755832,119549,112613,76.5,12.1,11.4
HEK293T,29,True,True,11,535646,394569,30859,110218,73.7,5.8,20.6
HeLa,26,True,False,11,1215767,675920,205579,334268,55.6,16.9,27.5
HeLa,27,True,True,11,1932419,1211709,344948,375762,62.7,17.9,19.4
HeLa,28,True,True,11,2086845,1507856,207367,371622,72.3,9.9,17.8
HeLa,29,True,True,11,1118054,697429,61237,359388,62.4,5.5,32.1
Huh7,24,True,True,11,323663,172164,93013,58486,53.2,28.7,18.1
Huh7,25,True,True,11,563192,334261,88965,139966,59.4,15.8,24.9
Huh7,26,True,False,11,817180,365712,212187,239281,44.8,26.0,29.3
Huh7,27,True,True,11,1261009,785804,323514,151691,62.3,25.7,12.0
Huh7,28,True,True,11,1345939,1054786,159166,131987,78.4,11.8,9.8
Huh7,29,True,True,11,593587,416458,49515,127614,70.2,8.3,21.5
LuCaP-PDX,26,True,False,11,328266,135015,79928,113323,41.1,24.3,34.5
LuCaP-PDX,27,True,True,11,943449,615009,251830,76610,65.2,26.7,8.1
LuCaP-PDX,28,True,True,11,1669256,1355586,153254,160416,81.2,9.2,9.6
LuCaP-PDX,29,True,True,11,1092937,716288,47783,328866,65.5,4.4,30.1
LuCaP-PDX,30,True,False,11,323358,146338,25994,151026,45.3,8.0,46.7
MCF10A,26,True,True,11,299021,125140,151663,22218,41.8,50.7,7.4
MCF10A,27,True,True,11,745338,673088,61755,10495,90.3,8.3,1.4
MCF10A,28,True,True,11,287240,251898,8113,27229,87.7,2.8,9.5
RD-CCL-136,24,True,True,11,325713,167699,104378,53636,51.5,32.0,16.5
RD-CCL-136,25,True,False,11,457581,260276,83572,113733,56.9,18.3,24.9
RD-CCL-136,26,True,False,11,825602,420212,223492,181898,50.9,27.1,22.0
RD-CCL-136,27,True,True,11,1560143,1105762,316555,137826,70.9,20.3,8.8
