sample,read_length,n_reads,pct_reads,in_phase1,psite_offset,frame0_pct,frame1_pct,frame2_pct,periodic,n_first10,n_first10_frame0,n_first10_frame1,n_first10_frame2
A2780,20,3376,0.09,False,,,,,False,,,,
A2780,21,4426,0.12,False,,,,,False,,,,
A2780,22,6368,0.17,False,,,,,False,,,,
A2780,23,10293,0.27,False,,,,,False,,,,
A2780,24,37358,1.0,False,,,,,False,,,,
A2780,25,194084,5.18,False,,,,,False,,,,
A2780,26,524452,13.99,True,11.0,46.5,28.5,25.0,False,11657.0,5418.0,3322.0,2917.0
A2780,27,1024506,27.34,True,11.0,65.2,23.0,11.8,True,21580.0,14077.0,4959.0,2544.0
A2780,28,1209731,32.28,True,11.0,74.6,12.6,12.7,True,23695.0,17684.0,2993.0,3018.0
A2780,29,515713,13.76,True,11.0,67.9,11.1,21.0,True,10790.0,7330.0,1197.0,2263.0
A2780,30,129175,3.45,False,,,,,False,,,,
A2780,31,43558,1.16,False,,,,,False,,,,
A2780,32,20263,0.54,False,,,,,False,,,,
A2780,33,11240,0.3,False,,,,,False,,,,
A2780,34,6547,0.17,False,,,,,False,,,,
A2780,35,3458,0.09,False,,,,,False,,,,
A2780,36,1666,0.04,False,,,,,False,,,,
A2780,37,791,0.02,False,,,,,False,,,,
A2780,38,360,0.01,False,,,,,False,,,,
A2780,39,219,0.01,False,,,,,False,,,,
A2780,40,133,0.0,False,,,,,False,,,,
A549,20,82071,4.1,False,,,,,False,,,,
A549,21,87388,4.37,False,,,,,False,,,,
A549,22,92568,4.63,False,,,,,False,,,,
A549,23,100786,5.04,True,11.0,54.0,16.6,29.4,True,3662.0,1978.0,609.0,1075.0
A549,24,106196,5.31,True,11.0,51.4,23.5,25.1,True,3779.0,1941.0,888.0,950.0
A549,25,141003,7.05,True,11.0,57.1,18.8,24.1,True,4848.0,2769.0,913.0,1166.0
A549,26,227421,11.36,True,11.0,51.1,19.8,29.2,True,7436.0,3798.0,1470.0,2168.0
A549,27,343628,17.17,True,11.0,61.8,20.1,18.1,True,12377.0,7648.0,2489.0,2240.0
A549,28,426084,21.29,True,11.0,72.8,12.1,15.1,True,16160.0,11762.0,1953.0,2445.0
A549,29,283407,14.16,True,11.0,66.7,7.3,26.0,True,11586.0,7729.0,847.0,3010.0
A549,30,91366,4.57,False,,,,,False,,,,
A549,31,14049,0.7,False,,,,,False,,,,
A549,32,2556,0.13,False,,,,,False,,,,
A549,33,973,0.05,False,,,,,False,,,,
A549,34,498,0.02,False,,,,,False,,,,
A549,35,254,0.01,False,,,,,False,,,,
A549,36,192,0.01,False,,,,,False,,,,
A549,37,161,0.01,False,,,,,False,,,,
A549,38,212,0.01,False,,,,,False,,,,
A549,39,236,0.01,False,,,,,False,,,,
A549,40,268,0.01,False,,,,,False,,,,
BJ,20,43920,1.47,False,,,,,False,,,,
BJ,21,57914,1.93,False,,,,,False,,,,
BJ,22,67638,2.26,False,,,,,False,,,,
BJ,23,66046,2.2,False,,,,,False,,,,
BJ,24,66061,2.21,False,,,,,False,,,,
BJ,25,70399,2.35,False,,,,,False,,,,
BJ,26,94546,3.16,True,11.0,42.8,20.8,36.4,False,1668.0,714.0,347.0,607.0
BJ,27,362626,12.1,True,11.0,47.3,27.9,24.8,False,5828.0,2757.0,1625.0,1446.0
BJ,28,926768,30.94,True,11.0,58.9,19.6,21.5,True,14707.0,8659.0,2887.0,3161.0
BJ,29,798150,26.64,True,11.0,56.2,15.7,28.1,True,13373.0,7509.0,2104.0,3760.0
