sample,ribo,rna
A2780,1.1173092300875,1.34463656007917
A549,0.405785943070391,0.340958973378995
BJ,0.599931055981015,1.43499741150344
BRx-142,0.673582190444637,0.239845082033788
Cybrid_Cells,0.624825786144629,1.41890530367448
H1-hESC,1.49106365074341,2.25927487801326
H9-hESC,0.745593237286391,0.796736701297029
HEK293,3.13606944510921,1.150975801598
HEK293T,1.0197574548679,0.678094582244173
HeLa,2.2555507118594,0.278870755644082
Huh7,1.58594020208425,1.98831260964959
LuCaP-PDX,1.34725231472626,2.03325640795165
MCF10A,0.41043281201604,0.307191210642632
RD-CCL-136,1.83502723834514,3.86729115860931
U-251,1.33543185374088,1.43505139237669
U-343,1.79359188768919,1.2766546953496
U2OS,0.683809206393863,0.882751677719531
cardiac_fibroblasts,1.14542869238789,1.84193190433164
early_neurons,1.0773965228707,1.23154982917205
fibroblast,0.578027773428173,1.03461424880523
hESC,1.24867251856175,0.987582883536969
megakaryocytes,1.46861229422153,1.1743791137888
neurons,0.682536444592182,0.493414153197882
normal_prostate,0.814124158464837,2.57424248060473
