sample	n_transcripts	spearman_rho	pearson_r
A2780	11072	0.972353490126437	0.966541532157295
A549	10863	0.968126767274942	0.965767419893244
BJ	11018	0.955337945936987	0.953669266131879
BRx-142	9640	0.983075722996113	0.98547920390761
Cybrid_Cells	11246	0.961883654100796	0.955257147485918
H1-hESC	11488	0.974245911425405	0.971194826973153
H9-hESC	11319	0.955953026211931	0.94974815480557
HEK293	11416	0.953766268501349	0.95760474070596
HEK293T	11143	0.979132349865155	0.977890136936622
HeLa	10629	0.958284450254906	0.95687895638762
Huh7	10941	0.975440829716032	0.966521409311564
LuCaP-PDX	11098	0.95499055522338	0.942658433180946
MCF10A	10479	0.965491115097997	0.966160987112735
RD-CCL-136	11348	0.971956218342548	0.96373394715777
U-251	11248	0.968783529291888	0.958225311567334
U-343	11117	0.960342396879766	0.949620575768209
U2OS	11174	0.96836337222003	0.96948454587684
cardiac_fibroblasts	11363	0.961727135300991	0.960983830275393
early_neurons	11307	0.97932672335483	0.971616070175287
fibroblast	11037	0.972234178040711	0.967474984998343
hESC	11433	0.980644066198367	0.976144836688902
megakaryocytes	10783	0.959037934220424	0.953450350860426
neurons	11075	0.979753669383592	0.974789767453436
normal_prostate	11494	0.977564193014967	0.974008490333519
