sample_id	filename	bytes	sha256	schema_version	provenance_sha256	n_transcripts	n_positions	created_utc
A2780	A2780.shared_coverage.h5	17242895	3979b8a7404e34a5787c8ac693f93ecc8d4edcaf7dcaf1d4a6caec4405e4e744	riboflow_paper/shared-coverage/3	63ff004e85b5d1f648ecab19a8691f18af0de2ec26f2eff37dc952f5ba2c9fb4	19736	70500740	2026-08-02T22:03:31Z
A549	A549.shared_coverage.h5	10863828	9dec1ee149a10e8fa5029f0a25a8bcc7bb34ecd45eadf7b92b1c3494b904de69	riboflow_paper/shared-coverage/3	e7004911a8b478324fe445803997766360c333fffa5099a747050ea30d1a9dd1	19736	70500740	2026-08-02T22:03:31Z
BJ	BJ.shared_coverage.h5	14317398	6d97cc39c08d29095943564f4b718afa95b1693ff91b76222b21832681cfd6c8	riboflow_paper/shared-coverage/3	4ca8664479b50b30d57f7151a22aaabbcc114ac6de279a7420429fe743c2b3eb	19736	70500740	2026-08-02T22:04:12Z
BRx-142	BRx-142.shared_coverage.h5	12908809	258fe264e39d50b8a4f8e25f105fadaf9f2c6e39056862c1595f3dc16bd9cdc4	riboflow_paper/shared-coverage/3	ad7df699ce3ab1d3739a4508504a32518fff87829b5e63e0e09e644b3c94f15d	19736	70500740	2026-08-02T22:04:39Z
Cybrid_Cells	Cybrid_Cells.shared_coverage.h5	15394592	2d412bcf6f035025d074d40adecacb804812a7cd115cfd3b585e5946738752d8	riboflow_paper/shared-coverage/3	5d77a30c65513391e9347775d5e6ef66d75fb4742e83b61ee0827a1b75a65dcd	19736	70500740	2026-08-02T22:05:06Z
H1-hESC	H1-hESC.shared_coverage.h5	22259810	b55fe580ae9647b1a10b4cd950e7f5bfe509d2c798902ac28ee7285880996bbb	riboflow_paper/shared-coverage/3	317b10b47b7cae83a1ef90a1890bc47171ea8bbd70162072144f46c3781724f7	19736	70500740	2026-08-02T22:05:26Z
H9-hESC	H9-hESC.shared_coverage.h5	13964088	e531461b48190a59de79a19845702a97993b20a11a66b024efb410f832e7d74d	riboflow_paper/shared-coverage/3	32c4358d5a15a3d666f6ee8afb50369eb388a0bb60bfc871a14acb6c684c4939	19736	70500740	2026-08-02T22:06:10Z
HEK293	HEK293.shared_coverage.h5	28102818	583fe8e77e2334771cddf454b90da63fdf874083231b48de5f445d38e39f7e2d	riboflow_paper/shared-coverage/3	0c2595d4640e920c270acd0ddd7b75173bc35c68443220661929e1909287b52c	19736	70500740	2026-08-02T22:06:54Z
HEK293T	HEK293T.shared_coverage.h5	16127802	d63f098581d858607b948631b1b555e7fe43780047088711f540f21808c3b140	riboflow_paper/shared-coverage/3	eaff937ea2ada38cd123e5a9b83d35e88de6fb98adfd75d0f31f0f7e8355027a	19736	70500740	2026-08-02T22:07:01Z
HeLa	HeLa.shared_coverage.h5	24815085	a0dc069dd1f6737ff232d726d93ff157b443c61ea6507a9461c66dc18785109b	riboflow_paper/shared-coverage/3	56a9e1ac7b9d53a9f3e24b1a8479478c60a178ddce9c92410819e76b57484f1a	19736	70500740	2026-08-02T22:08:01Z
