transcript_id	base_enst	gene_id	gene_name	chrom	strand	cds_len	n_codons	n_cds_exons	n_internal_junctions	div_by_3	length_filtered	in_txome_ref
ENST00000000233.10	ENST00000000233	ENSG00000004059.11	ARF5	chr7	+	540	180	6	5	True	False	True
ENST00000000412.8	ENST00000000412	ENSG00000003056.8	M6PR	chr12	-	831	277	6	5	True	False	True
ENST00000001008.6	ENST00000001008	ENSG00000004478.8	FKBP4	chr12	+	1377	459	10	9	True	False	True
ENST00000001146.6	ENST00000001146	ENSG00000003137.8	CYP26B1	chr2	-	1536	512	6	5	True	False	True
ENST00000002125.9	ENST00000002125	ENSG00000003509.16	NDUFAF7	chr2	+	1323	441	10	9	True	False	True
ENST00000002165.11	ENST00000002165	ENSG00000001036.14	FUCA2	chr6	-	1401	467	7	6	True	False	True
ENST00000002501.11	ENST00000002501	ENSG00000003249.14	DBNDD1	chr16	-	474	158	4	3	True	False	True
ENST00000002596.6	ENST00000002596	ENSG00000002587.10	HS3ST1	chr4	-	921	307	1	0	True	False	True
ENST00000003084.11	ENST00000003084	ENSG00000001626.16	CFTR	chr7	+	4440	1480	27	26	True	False	True
ENST00000003100.13	ENST00000003100	ENSG00000001630.17	CYP51A1	chr7	-	1527	509	10	9	True	False	True
ENST00000003302.8	ENST00000003302	ENSG00000048028.11	USP28	chr11	-	3231	1077	25	24	True	False	True
ENST00000004982.6	ENST00000004982	ENSG00000004776.13	HSPB6	chr19	-	480	160	3	2	True	True	True
ENST00000005178.6	ENST00000005178	ENSG00000004799.8	PDK4	chr7	-	1233	411	11	10	True	False	True
ENST00000005257.7	ENST00000005257	ENSG00000006451.8	RALA	chr7	+	618	206	4	3	True	False	True
ENST00000005259.8	ENST00000005259	ENSG00000075790.10	BCAP29	chr7	+	723	241	7	6	True	False	True
ENST00000005260.9	ENST00000005260	ENSG00000006453.14	BAIAP2L1	chr7	-	1533	511	14	13	True	False	True
ENST00000005284.4	ENST00000005284	ENSG00000006116.4	CACNG3	chr16	+	945	315	4	3	True	False	True
ENST00000005286.8	ENST00000005286	ENSG00000006118.14	TMEM132A	chr11	+	3072	1024	11	10	True	False	True
ENST00000005340.10	ENST00000005340	ENSG00000004975.12	DVL2	chr17	-	2208	736	15	14	True	False	True
ENST00000005386.8	ENST00000005386	ENSG00000005175.10	RPAP3	chr12	-	1995	665	16	15	True	False	True
ENST00000005756.5	ENST00000005756	ENSG00000007001.13	UPP2	chr2	+	951	317	7	6	True	False	True
ENST00000005995.8	ENST00000005995	ENSG00000007038.11	PRSS21	chr16	+	942	314	6	5	True	False	True
ENST00000006015.4	ENST00000006015	ENSG00000005073.6	HOXA11	chr7	-	939	313	2	1	True	False	True
ENST00000006053.7	ENST00000006053	ENSG00000006210.7	CX3CL1	chr16	+	1191	397	3	2	True	False	True
ENST00000006724.7	ENST00000006724	ENSG00000007306.15	CEACAM7	chr19	-	795	265	4	3	True	False	True
ENST00000006777.11	ENST00000006777	ENSG00000005486.17	RHBDD2	chr7	+	1092	364	4	3	True	False	True
ENST00000007390.3	ENST00000007390	ENSG00000007520.4	TSR3	chr16	-	936	312	6	5	True	False	True
ENST00000007414.8	ENST00000007414	ENSG00000006025.12	OSBPL7	chr17	-	2526	842	22	21	True	False	True
ENST00000007699.10	ENST00000007699	ENSG00000006047.13	YBX2	chr17	-	1092	364	8	7	True	False	True
ENST00000007735.4	ENST00000007735	ENSG00000006059.4	KRT33A	chr17	-	1212	404	7	6	True	True	True
ENST00000008391.4	ENST00000008391	ENSG00000008197.5	TFAP2D	chr6	+	1356	452	8	7	True	False	True
ENST00000008527.10	ENST00000008527	ENSG00000008405.12	CRY1	chr12	-	1758	586	12	11	True	False	True
ENST00000008938.5	ENST00000008938	ENSG00000008438.5	PGLYRP1	chr19	-	588	196	3	2	True	False	True
ENST00000009041.11	ENST00000009041	ENSG00000010270.13	STARD3NL	chr7	+	702	234	7	6	True	False	True
ENST00000009105.5	ENST00000009105	ENSG00000008118.10	CAMK1G	chr1	+	1428	476	11	10	True	False	True
ENST00000009530.12	ENST00000009530	ENSG00000019582.15	CD74	chr5	-	888	296	9	8	True	True	True
ENST00000011292.8	ENST00000011292	ENSG00000091704.10	CPA1	chr7	+	1257	419	10	9	True	True	True
ENST00000011473.6	ENST00000011473	ENSG00000008282.8	SYPL1	chr7	-	777	259	6	5	True	False	True
ENST00000011619.6	ENST00000011619	ENSG00000010017.13	RANBP9	chr6	-	2187	729	14	13	True	False	True
ENST00000011653.9	ENST00000011653	ENSG00000010610.10	CD4	chr12	+	1374	458	9	8	True	False	True
ENST00000011898.10	ENST00000011898	ENSG00000011105.14	TSPAN9	chr12	+	717	239	7	6	True	False	True
ENST00000012049.10	ENST00000012049	ENSG00000011478.12	QPCTL	chr19	+	1146	382	7	6	True	False	True
ENST00000012443.9	ENST00000012443	ENSG00000011485.15	PPP5C	chr19	+	1497	499	13	12	True	True	True
ENST00000013070.11	ENST00000013070	ENSG00000012963.15	UBR7	chr14	+	1275	425	11	10	True	False	True
ENST00000013125.8	ENST00000013125	ENSG00000012983.11	MAP4K5	chr14	-	2538	846	31	30	True	False	True
ENST00000013222.5	ENST00000013222	ENSG00000241644.2	INMT	chr7	+	789	263	3	2	True	True	True
